Brand,Chipset Manufacturer:,Model,VRAM,Description,Boost Clock,Cuda Cores,Shader Clock,Effective Memory Clock,Stream Processors,Direct X,HDMI,Model Number,D-Sub,Display Port,OpenGl,Dvi:,PixelPipelines,Slot Width,Max Resolution:,Cooler,Low Profile,release_date,code_name,manufacturer_tech,bus_interface,vram,core_frequency,vram_frequency,shader_frequency,core_config,purpose,open_gl,thermal_design_power,m_operations_s,g_pixels_s,m_texals_s,m_vertices_,v_ram_bandwidth,v_ram_bus_type,v_ram_bus_width,directx,
GIGABYTE,NVIDIA,GT 610,1024,GIGABYTE GV-N610SL-1GI GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,48,1620MHz,,,,,GV-N610SL-1GI,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
ZOTAC,NVIDIA,GT 610,1024,ZOTAC ZONE Edition ZT-60603-20L GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,48,1620MHz,,,,,ZT-60603-20L,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
EVGA,NVIDIA,GT 610,1024,EVGA 01G-P3-2615-KR GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,48,1620MHz,,,,,01G-P3-2615-KR,,,,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
ASUS,NVIDIA,GT 610,1024,ASUS GT610-SL-1GD3-L GeForce GT 610 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,,,,,DirectX 11.1,,GT610-SL-1GD3-L,,,,,,,D-Sub Max Resolution: 2048 x 1536 DVI Max Resolution: 2560 x 1600 Digital Max Resolution: 2560 x 1600,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,1024,Low Profile Half Height nVIDIA GeForce GT 610 1GB PCI-E x16 Video Graphics Card,,48,,,,DirectX 11,,G657336,,,OpenGL 4.2,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,2048,nVIDIA GeForce GT 610 2GB PCI Express PCI-E x16 Single Slot Video Graphics Card,,48,,,,DirectX 11,,G593229,,,OpenGL 4.2,,,,,,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,2048,NVIDIA GeForce GT 610 2GB GDDR3 VGA/DVI/HDMI Low Profile pci-e Video,,,,,,DirectX 11,,9SIA30R2NZ4779,,,,,,,,With Fan,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,2048,NVIDIA GeForce GT 610 2GB GDDR3 DVI/HDMI/VGA PCI-Express Video Card,,,,,,DirectX 11,,NV808073,,,,,,,2560 x 1600,With Fan,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,1024,NVIDIA GeForce GT 610 1GB GDDR3 DVI/HDMI/VGA PCI-Express Video Card,,,,,,DirectX 11,,NV808063,,,,,,,2560 x 1600,With Fan,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,1024,NVIDIA GeForce GT 610 ZONE Edition 1GB GDDR3 2DVI/Mini HDMI pci-e Video,,,,,,DirectX 11,,NV808059,,,,,,,2560 x 1600,Fanless,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,1024,NVIDIA GeForce GT 610 1GB GDDR3 VGA/DVI/HDMI Low Profile pci-e Video,,,,,,DirectX 11.1,,NV808060,,,,,,,2560 x 1600,With Fan,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
NVIDIA,NVIDIA,GT 610,1024,NVIDIA GeForce GT 610 1GB DDR3 VGA/DVI/HDMI Low Profile pci-e Video,,,,,,DirectX 11.1,,NV808036,,,,,,,2560 x 1600,With Fan,,5/1/12,GF119,40,PCIe 2.0 x16,512,810,1000,1620,,desktop,4.5,29,,,,,14.4,,,11,
Jaton Corporation,NVIDIA,GT 610,2048,JATON Video-PX610GT-EX GeForce GT 610 2GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,48,,,,DirectX 11,,Video-PX610GT-EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOTAC,NVIDIA,GT 610,1024,Zotac ZT-60607-10L GeForce GT 610 Graphic Card - 810 MHz Core - 1 GB DDR3 SDRAM - PCI Express 3.0,,,1620MHz,,,,,ZT-60607-10L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOTAC,NVIDIA,GT 610,2048,ZOTAC Synergy Edition ZT-60601-10L GeForce GT 610 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,,1620MHz,,,,,ZT-60601-10L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,NVIDIA,GT 610,2048,nVIDIA GeForce GT 610 2GB PCI-E x16 Low Profile Half Height Video Graphics Card,,,,,,,,NV344298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,NVIDIA,GT 610,1024,Low Profile Half Height nVIDIA GeForce GT 610 1GB PCI-E x16 Video Graphics Card,,,,,,,,NV344301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,,GT 610,2048,nVIDIA GeForce GT 610 2GB PCI-E x16 Low Profile Half Height Video Graphics Card,,,9,,,,,9SIA3SD2SS8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOTAC,NVIDIA,GT 630,4096,Open Box: Zotac ZT-60414-20L GeForce GT 630 Graphic Card - 902 MHz Core - 4 GB DDR3 SDRAM - PCI Express 2.0 x16,,,,1600 MHz,,OpenGL 4.3,,ZT-60414-20L,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
PNY Technologies Inc.,NVIDIA,GT 630,2048,PNY VCGGT6302XPB GeForce GT 630 2GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,96,,5010 MHz,,,,VCGGT6302XPB,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
ZOTAC,NVIDIA,GT 630,2048,ZOTAC NVIDIA GeForce GT 630 ZONE Edition 2GB DDR3 VGA/DVI/HDMI pci-e,,384,,6008MHz,,,,N82S16017538340,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
NVIDIA,NVIDIA,GT 630,4096,INNO3D NVIDIA Geforce GT 630 4GB PCI Express x16 Video Graphics Card HMDI,,96,,,,DirectX 11,,G674485,,,OpenGL 4.1,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
NVIDIA,NVIDIA,GT 630,4096,INNO3D NVIDIA Geforce GT 630 4GB 128bit Ram PCI Express x16 Video Graphics Card,,96,,,,DirectX 11,,G290897,,,OpenGL 4.1,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
ASUS,NVIDIA,GT 630,1024,ASUS GT630-SL-1GD3-L GeForce GT 630 1GB 64-Bit GDDR3 PCI Express 2.0 HDCP Ready Video Card,,,,,,DirectX 11,,GT630-SL-1GD3-L,,,,,,Single Slot,HDMI: 4096 x 2160,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
NVIDIA,NVIDIA,GT 630,2048,NVIDIA GeForce GT 630 2GB GDDR3 VGA/DVI/HDMI Low Profile pci-e Video,,,,,,DirectX 11,,NV808048,,,,,,,2560 x 1600,Fanless,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
Jaton Corporation,NVIDIA,GT 630,2048,JATON Video-PX658-DLP-EX GeForce GT 630 2GB 128-Bit DDR3 PCI Express x16 Low Profile Ready Video Card,,,,,,DirectX 11,,Video-PX658-DLP-EX,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
NVIDIA,NVIDIA,GT 630,2048,NVIDIA Geforce GT 630 2GB 128 bit DDR3 PCI Express Video Graphics Card HMDI DVI,,,,,,,,GT630,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
NVIDIA,NVIDIA,GT 630,2048,NVIDIA Geforce GT 630 2GB PCI Express x16 128 bit Video Card HMDI Low Profile,,,,,,,,NV344350,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
NVIDIA,NVIDIA,GT 630,2048,INNO3D NVIDIA Geforce GT 630 2GB DDR3 PCI Express Video Graphics Card HMDI GT630,,,,,,,,GT630,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
NVIDIA,NVIDIA,GT 630,2048,NVIDIA Geforce GT 630 2GB PCI Express x16 128 bit Video Graphics Card HMDI DVI,,,,,,,,NV344336,,,,,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
Hewlett-Packard,NVIDIA,GT 630,2048,HP GeForce GT 630 Graphic Card - 2 GB DDR3 SDRAM - PCI Express x16,,,2,,,,,B4J92AA,,2 x DisplayPort,,1 x DVI,,,,,,4/1/12,GK107,28,PCIe 3.0 x16,1024,875,891,875,,desktop,4.5,50,,,,,,,,11,
PNY Technologies Inc.,NVIDIA,GT 640,1024,PNY VCGGT640XPB GeForce GT 640 1GB 128-Bit DDR3 PCI Express 3.0 x16 HDCP Ready Video Card,,,,1782MHz,,DirectX 11,,VCGGT640XPB,,,,,,,,,,6/1/12,GK107,28,PCIe 3.0 x16,2048,900,891,900,,desktop,4.5,65,,,,,,,,11,
ZOTAC,NVIDIA,GT 640,2048,New Video Card ZOTAC NVIDIA GeForce GT 640 2GB GDDR3 DVI/HDMI/VGA PCI-Express (SaveMart),,384,,5000MHz,,,,Y40812,,,,,,,,,,6/1/12,GK107,28,PCIe 3.0 x16,2048,900,891,900,,desktop,4.5,65,,,,,,,,11,
ZOTAC,NVIDIA,GT 640,2048,HOT New Video Card ZOTAC NVIDIA GeForce GT 640 2GB GDDR3 DVI/HDMI/VGA PCI-Express,,384,,1070MHz,,,,0082e70A628,,,,,,,,,,6/1/12,GK107,28,PCIe 3.0 x16,2048,900,891,900,,desktop,4.5,65,,,,,,,,11,
ASUS,NVIDIA,GT 640,1024,ASUS GT640-1GD3-L GeForce GT 640 1GB DDR3 PCI Express 3.0 x16 HDCP Ready Video Card,,384,,1600MHz,,,,GT640-1GD3-L,,,,,,,,,,6/1/12,GK107,28,PCIe 3.0 x16,2048,900,891,900,,desktop,4.5,65,,,,,,,,11,
ASUS,NVIDIA,GT 640,2048,ASUS GT640-2GD3 GeForce GT 640 2GB 128-Bit DDR3 PCI Express 3.0 x16 HDCP Ready Video Card,,384,1802MHz,,,,,GT640-2GD3,,,,,,,,,,6/1/12,GK107,28,PCIe 3.0 x16,2048,900,891,900,,desktop,4.5,65,,,,,,,,11,
ZOTAC,NVIDIA,GT 640,2048,New Zotac Geforce GT 640 2GB 128bit DDR3 PCI-E Video Card(SaveMart),,,,,,DirectX 11.2,,JTIPS02,,,,,,,2560 x 1600,,,6/1/12,GK107,28,PCIe 3.0 x16,2048,900,891,900,,desktop,4.5,65,,,,,,,,11,
EVGA,NVIDIA,GT 640,2048,EVGA 02G-P4-2643-KR GeForce GT 640 2GB 128-Bit DDR3 PCI Express 3.0 x16 HDCP Ready Video Card,,,,,,DirectX 12 (feature level 11_0),,02G-P4-2643-KR,,,,,,Dual Slot,2560 x 1600,,,6/1/12,GK107,28,PCIe 3.0 x16,2048,900,891,900,,desktop,4.5,65,,,,,,,,11,
GIGABYTE,NVIDIA,GT 720,1024,GIGABYTE GV-N720D3-1GL GeForce GT 720 1GB 64-Bit DDR3 PCI Express 2.0 x 8 Low Profile Video Card,,,,,,DirectX 11.2,,GV-N720D3-1GL,,,OpenGL 4.4,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
MSI,NVIDIA,GT 720,2048,MSI N720-2GD3LP GeForce GT 720 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,,,1600MHz,,12 API (feature level 11_0),,N720-2GD3LP,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
MSI,NVIDIA,GT 720,1024,MSI  N720-1GD3HLP  GeForce GT 720  1GB  64-Bit  DDR3  PCI Express 2.0 x16  HDCP Ready Video Card,,,,1600MHz,,DirectX 12,,N720-1GD3HLP,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
ASUS,NVIDIA,GT 720,2048,ASUS GT720-2GD3-CSM GeForce GT 720 2GB 64-Bit DDR3 PCI Express 2.0 x 8 HDCP Ready Video Card,,192,,1800MHz,,,,GT720-2GD3-CSM,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
PNY Technologies Inc.,NVIDIA,GT 720,1024,PNY VCGGT7201D3LXPB GeForce GT 720 1GB 64-Bit DDR3 PCI Express 2.0 x 8 Low Profile Video Card,,192,,900MHz,,,,VCGGT7201D3LXPB,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
ASUS,NVIDIA,GT 720,1024,ASUS GT720-1GD3-CSM GeForce GT 720 1GB 64-Bit DDR3 PCI Express 2.0 Video Card,,192,,1800MHz,,,,GT720-1GD3-CSM,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
EVGA,NVIDIA,GT 720,2048,EVGA 02G-P3-2724-KR GeForce GT 720 2GB 64-Bit DDR3 PCI Express 2.0 x 8 Video Card,,192,,5000MHz,,,,02G-P3-2724-KR,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
EVGA,NVIDIA,GT 720,1024,EVGA 01G-P3-2722-KR GeForce GT 720 1GB 64-Bit DDR3 PCI Express 2.0 x 8 Video Card,,192,,5000MHz,,,,01G-P3-2722-KR,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
ZOTAC,NVIDIA,GT 720,1024,ZOTAC NVIDIA GeForce GT 720 ZONE Edition 1GB DDR3 VGA/DVI/HDMI Low,,,,,,DirectX 12,,N82S1601753014,,,,,,,2560 x 1600,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
ZOTAC,NVIDIA,GT 720,2048,New ZOTAC NVIDIA GeForce GT 720 ZONE Edition 2GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card(SaveMart),,,,,,DirectX 12,,JTIUS05,,,,,,,2560 x 1600,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
NVIDIA,NVIDIA,GT 720,2048,NVIDIA GeForce GT 720 2GB DDR3 VGA/DVI/HDMI Low Profile pci-e Video,,,,,,DirectX 12,,NV808068,,,,,,,4096 x 2160 (DisplayPort),With Fan,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
NVIDIA,NVIDIA,GT 720,1024,NVIDIA GeForce GT 720 1GB DDR3 VGA/DVI/HDMI Low Profile pci-e Video,,,,,,DirectX 12,,NV808057,,,,,,,4096 x 2160 (DisplayPort),Fanless,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
NVIDIA,NVIDIA,GT 720,1024,NVIDIA GeForce GT 720 1GB DDR3 VGA/DVI/HDMI PCI-Express Video Card,,,,,,DirectX 12,,NV808071,,,,,,,2560 x 1600,Fanless,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
ZOTAC,NVIDIA,GT 720,2048,ZOTAC ZT-71201-20L GeForce GT 720 2GB 64-Bit DDR3 PCI Express 2.0 x 8 HDCP Ready Low Profile Ready Video Card,,192,,,,,,ZT-71201-20L,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
ZOTAC,NVIDIA,GT 720,1024,ZOTAC ZT-71202-20L GeForce GT 720 1GB 64-Bit DDR3 PCI Express 2.0 x 8 HDCP Ready Low Profile Ready Video Card,,192,,,,,,ZT-71202-20L,,,,,,,,,,3/1/14,GK208,28,PCIe 2.0 x8,1024,797,900,,,desktop,4.5,19,,6.4,12.8,,14.4,DDR3,64,11,
GIGABYTE,NVIDIA,GT 730,1024,GIGABYTE GV-N730D3-1GI GeForce GT 730 1GB 64-Bit DDR3 PCI Express 2.0 Video Card,,,,1800 MHz,,DirectX 11.2,,GV-N730D3-1GI,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
MSI,NVIDIA,GT 730,2048,MSI  N730K-2GD5LP/OC  GeForce GT 730  2GB  64-Bit  GDDR5  PCI Express 2.0 x16  HDCP Ready Video Card,,,,5000MHz,,DirectX 12,,N730K-2GD5LP/OC,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,1024,Zotac ZT-71107-10L GeForce GT 730 Graphic Card - 902 MHz Core - 1 GB DDR3 SDRAM - PCI Express 2.0 x1,,,,1800 MHz,,DirectX 12 OpenGL 4.4,,ZT-71107-10L,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,4096,Zotac ZT-71108-10L GeForce GT 730 Graphic Card - 902 MHz Core - 4 GB DDR3 SDRAM - PCI Express 2.0 x16,,,,1800 MHz,,DirectX 12 OpenGL 4.4,,ZT-71108-10L,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
EVGA,NVIDIA,GT 730,2048,EVGA 02G-P3-3733-KR GeForce GT 730 2GB 64-Bit GDDR5 PCI Express 2.0 Low Profile Ready Video Card,,384,,1000MHz,,,,02G-P3-3733-KR,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
PNY Technologies Inc.,NVIDIA,GT 730,2048,PNY VCGGT7302D3LXPB GeForce GT 730 2GB 128-Bit DDR3 PCI Express 2.0 Low Profile Ready Video Card,,96,,5000MHz,,,,VCGGT7302D3LXPB,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
MSI,NVIDIA,GT 730,1024,MSI N730K-1GD5LP/OC GeForce GT 730 1GB 64-Bit GDDR5 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,384,,1070MHz,,,,N730K-1GD5LP/OC,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
EVGA,NVIDIA,GT 730,1024,EVGA 01G-P3-2730-KR GeForce GT 730 1GB 128-Bit DDR3 PCI Express 2.0 Low Profile Ready Video Card,,96,,5000MHz,,,,01G-P3-2730-KR,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,1024,New ZOTAC Video Graphics Card NVIDIA GeForce GT 730 1 GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express 1GB(SaveMart),,384,,4500 MHz,,,,JMIMS05,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
EVGA,NVIDIA,GT 730,1024,EVGA 01G-P3-3736-KR GeForce GT 730 1GB 128-Bit GDDR5 PCI Express 2.0 Video Card,,96,,1600MHz,,,,01G-P3-3736-KR,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
EVGA,NVIDIA,GT 730,1024,EVGA 01G-P3-2731-KR GeForce GT 730 1GB 128-Bit DDR3 PCI Express 2.0 Video Card,,96,,3200MHz,,,,01G-P3-2731-KR,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,2048,New ZOTAC Video Graphics Card NVIDIA GeForce GT 730 2 GB DDR3 2DVI/Mini HDMI PCI-Express 2GB(SaveMart),,96,,1334MHz,,,,JMINS01,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
MSI,NVIDIA,GT 730,2048,MSI N730-2GD3 GeForce GT 730 2GB 128-Bit DDR3 PCI Express 2.0 HDCP Ready Video Card,,96,,5000MHz,,,,N730-2GD3,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
EVGA,NVIDIA,GT 730,2048,EVGA 02G-P3-2738-KR GeForce GT 730 2GB 128-Bit DDR3 PCI Express 2.0 Video Card,,96,,1333MHz,,,,02G-P3-2738-KR,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,1024,ZOTAC  ZT-71114-20L  GeForce GT 730  1GB  64-Bit  DDR3  PCI Express 2.0 x16 (x8 lanes)  Video Card,,384,,1400MHz,,,,ZT-71114-20L,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ASUS,NVIDIA,GT 730,1024,ASUS GT730-SL-1GD3-BRK GeForce GT 730 1GB 64-Bit GDDR3 PCI Express 2.0 HDCP Ready Video Card,,384,,5000MHz,,,,GT730-SL-1GD3-BRK,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
PNY Technologies Inc.,NVIDIA,GT 730,2048,New PNY Video Graphics Card NVIDIA GeForce GT 730 2 GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express 2GB(SaveMart),,96,,1800MHz,,,,JMISS04,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,2048,New ZOTAC Video Graphics Card NVIDIA GeForce GT 730 2 GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express 2GB(SaveMart),,384,,1070MHz,,,,JMIPS02,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
EVGA,NVIDIA,GT 730,1024,EVGA 01G-P3-3731-KR GeForce GT 730 1GB 64-Bit GDDR5 PCI Express 2.0 Low Profile Ready Video Card,,384,,1800MHz,,,,01G-P3-3731-KR,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
EVGA,NVIDIA,GT 730,2048,EVGA 02G-P3-2732-KR GeForce GT 730 2GB 128-Bit DDR3 PCI Express 2.0 Low Profile Ready Video Card,,96,,5000MHz,,,,02G-P3-2732-KR,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
PNY Technologies Inc.,NVIDIA,GT 730,1024,New PNY Video Card NVIDIA GeForce GT 730 1GB GDDR5 VGA/DVI/HDMI Low Profile PCI-Express (SaveMart),,384,,1782 MHz,,,,JMODH08,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,4096,New ZOTAC Video Graphics Card NVIDIA GeForce GT 730 4 GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express 4GB(SaveMart),,384,,5000MHz,,,,JMISS05,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
GIGABYTE,NVIDIA,GT 730,2048,GIGABYTE GV-N730-2GI GeForce GT 730 2GB 128-Bit DDR3 PCI Express 2.0 HDCP Ready Video Card,,96,,4500 MHz,,,,GV-N730-2GI,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,2048,ZOTAC ZT-71103-10L GeForce GT 730 2GB 128-Bit DDR3 PCI Express 2.0 x16 Video Card,,96,,5000MHz,,,,ZT-71103-10L,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
ZOTAC,NVIDIA,GT 730,1024,New Video Card ZOTAC NVIDIA GeForce GT 730 1GB GDDR5 VGA/DVI/HDMI Low Profile PCI-Express (SaveMart),,384,,1800MHz,,,,JMODH07,,,,,,,,,,6/1/14,GK208,28,PCIe 2.0 x16,1024,902,1250,,,desktop,4.5,38,,7.22,28.8,,40,GDDR5,64,11,
