Brand,Chipset Manufacturer:,Model,VRAM,Description,Boost Clock,Cuda Cores,Shader Clock,Effective Memory Clock,Stream Processors,Direct X,HDMI,Model Number,D-Sub,Display Port,OpenGl,Dvi:,PixelPipelines,Slot Width,Max Resolution:,Cooler,Low Profile,release_date,code_name,manufacturer_tech,bus_interface,vram,core_frequency,vram_frequency,shader_frequency,core_config,purpose,open_gl,thermal_design_power,m_operations_s,g_pixels_s,m_texals_s,m_vertices_,v_ram_bandwidth,v_ram_bus_type,v_ram_bus_width,directx,
EVGA,NVIDIA,GeForce 210,512,EVGA 512-P3-1311-KR GeForce 210 512MB 32-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,,16,1230MHz,,,,,512-P3-1311-KR,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
GIGABYTE,NVIDIA,GeForce 210,1024,GIGABYTE GV-N210D3-1GI REV6.0 GeForce 210 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,16,1237MHz,,,,,GV-N210D3-1GI REV6.0,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
GIGABYTE,NVIDIA,GeForce 210,1024,GIGABYTE GV-N210SL-1GI GeForce 210 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,16,1237MHz,,,,,GV-N210SL-1GI,,,,,,,,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
ASUS,NVIDIA,GeForce 210,1024,ASUS EN210 SILENT/DI/1GD3/V2(LP) GeForce 210 1GB 64-Bit DDR3 PCI Express 2.0 x16 Low Profile Ready Video Card,,,,,,DirectX 10.1,,EN210 SILENT/DI/1GD3,,,,,,,2560 x 1600,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
EVGA,NVIDIA,GeForce 210,1024,EVGA 01G-P3-1313-KR GeForce 210 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,,,,,,DirectX 10.1,,01G-P3-1313-KR,,,,,,Single Slot,2560 x 1600,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
EVGA,NVIDIA,GeForce 210,1024,EVGA 01G-P3-1312-LR GeForce 210 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,,,,,,DirectX 10.1,,01G-P3-1312-LR,,,,,,Single Slot,2560 x 1600,,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
NVIDIA,NVIDIA,GeForce 210,512,NVIDIA GeForce 210 512MB GDDR3 VGA/DVI/HDMI PCI-Express Video Card,,,,,,DirectX 10.1,,NV808072,,,,,,,2560 x 1600,With Fan,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
NVIDIA,NVIDIA,GeForce 210,1024,GIGABYTE NVIDIA GeForce 210 1GB GDDR3 VGA/DVI/HDMI PCI-Express Video Card,,,,,,DirectX 10.1,,NV808066,,,,,,,2560 x 1600,Fanless,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
NVIDIA,NVIDIA,GeForce 210,1024,EVGA NVIDIA GeForce 210 1GB GDDR3 VGA/DVI/HDMI PCI-Express Video Card,,,,,,DirectX 10.1,,NV808045,,,,,,,2560 x 1600,With Fan,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
NVIDIA,NVIDIA,GeForce 210,1024,GIGABYTE NVIDIA GeForce 210 1GB DDR3 VGA/DVI/HDMI Low Profile pci-e Video,,,,,,DirectX 10.1,,NV808061,,,,,,,2560 x 1600,With Fan,,10/1/09,GT218,40,PCIe 2.0 x16,512,520,1000,1230,,desktop,3.3,31,,2.356,4.712,,4,,32,10.1,
