manufacturer,mini_itx,micro_atx,atx,extended_atx,steel,plastic,aluminum,Color:,description,with_power_supply,psu_mount_location,psu_wattage,filter,expansion_slots,weight,side_panel_window,,front_ports,Model #:,internal_3_5_drive_bays,external_5_25_drive_bay,external_3_5_drive_bay,"Internal 2.5"" Drive Bays:",power_supply_mount_location,Removable Filter:,Type,Dimensions (H x W x D):,200mm Fans,140mm Fans,120mm Fans,90mm Fans:,80mm Fans:,40mm Fans,Radiator Support
APEVIA CORP.,,,1,,1,,,,APEVIA X-Sniper X-SNIPER2-RD Black Steel ATX Mid Tower Computer Case w/ Side Window-Red,,Bottom,,,,,Yes,2 x USB3.0 2 x HD/AC'97 ...,2 x USB3.0 2 x HD/AC'97 Audio,X-SNIPER2-RD,,,,,,,,,,,1 x Red LED 120mm Fan,,,,
Fractal Design,,,1,,1,,,,Fractal Design Arc XL (FD-CA-ARC-XL-BL-W) Black Steel ATX Full Tower Computer Case,,,,,9,,,,2 x USB 3.0 2 x USB 2.0 Audio in/out Power button with LED HDD activity with LED Reset Button Fan Controller,Arc XL (FD-CA-ARC-XL-BL-W),,4,,,,,Full Tower,,,,,,,,
Thermaltake,,1,1,,1,,,Black,Thermaltake V3 Black AMD Edition System Cabinet - Mid-tower - Black - Steel -- Computer Case,,,,,,10.58 lb,,,,9075273465,,,,,,,,,,,,,,,
Thermaltake,,1,1,,1,,,Black,Thermaltake V3 Black AMD Edition System Cabinet - Mid-tower - Black - Steel -- Computer Case,,,,,,10.58 lb,,,,9SIC4C2HM016,,,,,,,,,,,,,,,
Silverstone,1,,,,,,1,,SilverStone DS380B Black Aluminum front door SECC body NAS chassis Premium 8-bay Small Form Factor NAS Chassis SFX PSU (sold separately) Power Supply,,,,,,,,,USB 3.0 x 2 audio x 1 MIC x 1,DS380B,,,,4,,,,,,,,,,,
Lian-Li,,1,1,1,,,1,,Lian Li DK-01 Black Aluminum Computer Desk (Computer Case with Legs),,,,,,,,,I/O Ports USB3.0 x 4 HD Audio,DK-01X,"3.5"" drive bay 3.5-inch HDD x10","5.25"" drive bay (External) Slim ODD x1 or 2.5"" HDD x1",,,,,,,,,,,,,
Lian-Li,,,1,,,,1,,Lian Li PC-V1000LB Black Aluminum ATX Full Tower Chassis,,,,,,,,,USB3.0 x 4 HD Audio,PC-V1000LB,"3.5"" HDD or 2.5"" HDD x 9+2.5"" HDD x2 or 3.5"" HDD x1",1,,,,,Full Tower,,,,FAN: 120mmx3 (Front) x1...,,,,
Lian-Li,,,1,,,,1,Silver,Lian Li PC-V1000LA Silver Aluminum ATX Full Tower Chassis,,,,,,,,,USB3.0 x 4 HD Audio,PC-V1000LA,"3.5"" HDD or 2.5"" HDD x 9+2.5"" HDD x2 or 3.5"" HDD x1",1,,,,,Full Tower,,,,FAN: 120mm x 3 (Front) ...,,,,
Lian-Li,,,1,,,,1,,LIAN LI PC-A76 Black Aluminum ATX Full Tower Computer Case,No,,,,,,USB / Audio,,,PC-A76,,2,,,,,Full Tower,,,,,,,,
Lian-Li,,,1,,,,1,,Lian Li PC-2130A Black Brushed Aluminum ATX Full Tower,,,,,,,,(3.5_褲HDD x 8 + 2.5_褲 HDDx...,USB3.0 x 4 HD Audio,PC-V2130B,"3.5"" HDD with hdd tray x8 2.5"" HDD x4 plus 3.5"" HDD x3 or 2.5"" HDD x3",4,,,,,Full Tower,,,,,,,,
Lian-Li,,,1,,,,1,Silver,Lian Li PC-2130A Silver Brushed Aluminum ATX Full Tower,,,,,,,,(3.5_褲HDD x 8 + 2.5_褲 HDDx...,USB3.0 x 4 HD Audio,PC-V2130A,"3.5"" HDD with hdd tray x8 2.5"" HDD x4 plus 3.5"" HDD x3 or 2.5"" HDD x3",4,,,,,Full Tower,,,,,,,,
NZXT,,,1,,1,1,,,Refurbished: NZXT Phantom 530 CA-PH530-B1 Black Steel / Plastic ATX Full Tower Computer Case,No,,,,,,,1 x Audio / Mic 2 x USB...,1 x Audio / Mic 2 x USB 3.0,,,,,,Bottom,,Full Tower,,,,,,,,
Rosewill,,,1,,,,1,,Rosewill Legacy U3-B-Window - Black Aluminum Alloy Micro-ATX Mini Tower Computer Case,No,,,,,,,,2 x USB 3.0 Ports Audio In/Out,Legacy U3-B-Window,,,,,,,,,,,1 x Rear 120mm Fan,,,,
Thermaltake,,1,1,1,,,,,Thermaltake Urban T81 Extreme Full Tower Chassis Sleek Stylish Design With Extreme Liquid Cooling Compatibility (CA-1B7-00F1WN-00),No,,,,,,Transparent Window,,USB 3.0 x 2 USB 2.0 x 4 HD Audio x 1 Fan Speed Control,CA-1B7-00F1WN-00,,,,,,,Full Tower,,,,,,,,
In Win,,,1,,,,,,IN WIN 703 BLACK SECC ATX Mid Tower Computer Case ATX12V V2.3/EPS 12V up to 220mm (170mm with Bottom Fan) Power Supply,,,,,,,,,USB 3.0 x 1 USB 2.0 x 2 HD Audio,703 BLACK,,1,,,,,,,,,Front - 120mm Fan x 2 Rear - 120mm Red LED Fan x 1 Bottom - 120mm Fan x 1,,,,
DIYPC,,,1,,,,,,DIYPC Shadow-H01-W  White Dual USB 3.0 ATX Mid Tower Gaming Computer Case with Build-in 6 x Red Fans (2 x 120mm LED Fan x Top 2 x 120mm LED Fan x Front 1 x 140mm Fan x Side 1 x 120mm Fan x rear,,Bottom,,,,,,2 x USB 3.0; 2 x USB 2.0...,1 x USB 3.0 / 2 x USB 2.0 / Audio,Shadow-H01-W,,,,,,,,,,,2 x Front 120mm LED Red Fan (Pre-Installed) 2 x Top 120mm LED Red Fan (Pre-Installed) 1 x Rear 120mm Red Fan (Pre-Installed),,,,
Corsair,,,1,,,,,,Corsair Graphite Series 230T CC-9011040-WW Grey on Black with BLUE LED fans ATX Mid Tower Computer Case,No,,,,,,Yes,,USB 3.0,CC-9011040-WW,,,,,,,,,,,,,,,
DIYPC,,,1,,,,,,DIYPC FM18-W Black SECC ATX Mid Tower Computer Case,,Top,,,,,,1 x USB 3.0 / 1 x USB 2....,1 x USB 3.0 / 1 x USB 2.0 / Audio,FM18-W,,,,,,,,,,,1 x Front 120mm black fan (pre-installed) 2 x Side 120mm fans (optional ),,,,
DIYPC,,,1,,,,,,DIYPC FM18-BK Black USB 3.0 ATX Mid Tower Computer Case with 1 x 120mm and 1x 80mm Fan,,Top,,,,,,1 x USB 3.0 / 1 x USB 2....,1 x USB 3.0 / 1 x USB 2.0 / Audio,FM18-BK,,,,,,,,,,,1 x Front 120mm black fan (pre-installed) 2 x Side 120mm fans (optional ),,,,
DIYPC,,,1,,,,,,DIYPC Solo-T1-BK Black USB 3.0 ATX Mid Tower Gaming Computer Case with 2 x Blue Fans (1 x 120mm LED fan x front 1x120mm fan x rear) Pre-installed,,Top,,,,,,1 x USB 3.0 / 2 x USB 2....,1 x USB 3.0 / 2 x USB 2.0 / Audio,Solo-T1-BK,,,,,,,,,,,1 x Front 120mm LED Blue Fan (pre-installed) 1 x Rear 120mm Blue Fan (pre-installed) 2 x Side 120mm Fan ( Optional),,,,
DIYPC,,,1,,,,,,DIYPC Solo-T1-BK Black USB 3.0 ATX Mid Tower Gaming Computer Case with 2 x Blue Fans (1 x 120mm LED fan x front 1x120mm fan x rear) Pre-installed,,Top,,,,,,1 x USB 3.0 / 2 x USB 2....,1 x USB 3.0 / 2 x USB 2.0 / Audio,Solo-T1-BK,,,,,,,,,,,1 x Front 120mm LED Blue Fan (pre-installed) 1 x Rear 120mm Blue Fan (pre-installed) 2 x Side 120mm Fan ( Optional),,,,
DIYPC,,,1,,,,,,DIYPC Solo-T1-R Black USB 3.0 ATX Mid Tower Gaming Computer Case with 2 x Red Fans (1 x 120mm LED fan x front 1x120mm fan x rear) Pre-installed,,Top,,,,,,1 x USB 3.0 / 2 x USB 2....,1 x USB 3.0 / 2 x USB 2.0 / Audio,Solo-T1-R,,,,,,,,,,,1 x Front 120mm LED Red Fan (pre-installed) 1 x Rear 120mm Red Fan (pre-installed) 2 x Side 120mm Fan ( Optional),,,,
DIYPC,,,1,,,,,,DIYPC Ranger-R4-R Black SPCC ATX Mid Tower Computer Case,,Bottom,,,,,,1 x USB 3.0 / 2 x USB 2....,1 x USB 3.0 / 2 x USB 2.0 / Audio,Ranger-R4-R,,,,,,,,,,,1 x Front 120mm LED Red Fan (pre-installed) 1 x Rear 120mm Red Fan (pre-installed) 1 x Top 120mm Fan (Optional),,,,
DIYPC,,,1,,,,,,DIYPC Mirage-D1-Y Black/Yellow SECC ATX Mid Tower Computer Case,,Bottom,,,,,,1 x USB 3.0 / 2 x USB 2....,1 x USB 3.0 / 2 x USB 2.0 / Audio,Mirage-D1-Y,,,,,,,,,,,1 x Front 120mm Yellow Fan (pre-installed) 1 x Side 120mm LED Yellow Fan (pre-installed) 1 x Rear 120mm Yellow Fan (pre-installed),,,,
Cooler Master,,1,1,,,,,,Cooler Master HAF 912 - High Air Flow Mid Tower Computer Case,,Bottom,,,,,,2 x USB 2.0 1 x Audio ...,1 x USB 3.0 / 2 x USB 2.0 / Audio,RC-912-KKN1,,,,,,,,,,,1 x 120 mm front fan 1200 RPM 17 dBA 1 x 120 mm rear fan 1200 RPM 17 dBA,,,,
DIYPC,,,1,,,,,,DIYPC Skyline-07-R Black SECC ATX Full Tower Gaming Computer Case with 7 x 120mm Red Fans Hot Swap Docking Fan Controller,,Bottom,,,,,,,2 x USB 3.0 / 2 x USB 2.0 / Audio / 1 x eSATA,Skyline-07-R,,,,,,,Full Tower,,,,2 x Front 120mm LED Red Fan (Pre-Installed) 2 x Top 120mm Red Fan (Pre-Installed) 2 x Side 120mm LED Red Fan (Pre-Installed) 1 x Rear 120mm Red Fan (Pre-Installed) 1 x Bottom 120mm Fan ( Optional),,,,
