manufacturer,mini_itx,micro_atx,atx,extended_atx,steel,plastic,aluminum,Color:,description,with_power_supply,psu_mount_location,psu_wattage,filter,expansion_slots,weight,side_panel_window,,front_ports,Model #:,internal_3_5_drive_bays,external_5_25_drive_bay,external_3_5_drive_bay,"Internal 2.5"" Drive Bays:",power_supply_mount_location,Removable Filter:,Type,Dimensions (H x W x D):,200mm Fans,140mm Fans,120mm Fans,90mm Fans:,80mm Fans:,40mm Fans,Radiator Support
Thermaltake,,,1,,,,,,Thermaltake Versa H35 CA-1D1-00M1WN-00 Black SPCC ATX Gaming Mid Tower Computer Case,No,,,,,,,,2x USB 3.0 1x Headphone 1x Mic Front Ports,CA-1D1-00M1WN-00,,,,,,,,,,,Front (intake) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA) Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA),,,,
Fractal Design,1,,,,1,,1,,Fractal Design Node 304 FD-CA-NODE-304-WH White Aluminum / Steel Mini-ITX Desktop Computer Case,,,,,2,,No,,USB 3.0 / Audio,FD-CA-NODE-304-WH,,,,,,,,,,,,2 x 92mm (1300 RPM),,,
In Win,1,,,,1,1,,,IN WIN BQS656.DD120BL Black Steel / Plastic Mini-ITX Desktop Computer Case 120W External Adaptor Power Supply,Yes,,,,,,,2 x USB 2.0 / Audio Fron...,2 x USB 2.0 / Audio,BQS656.DD120BL,,,,,,,,,,,No,,,,
Antec,1,,,,1,,,,Antec ISK 300-150 Black 0.8mm cold rolled steel Mini-ITX Desktop Computer Case 150W Power Supply,Yes,,150W Power Supply,,,,,2 x USB 3.0 in front Fro...,2 x USB 3.0 in front,ISK 300-150,2,1,,,,,,,,,,,,,
In Win,1,,,,,,1,,IN WIN H-Frame Mini Blue Blue Aluminum Mini-ITX Computer Case 180W Power Supply,Yes,,180W Power Supply,,,,No,2 x USB 3.0 / Audio Fron...,2 x USB 3.0 / Audio,H-Frame Mini Blue,,,,2,,,,,,,,,,,
Rosewill,1,,,,,,1,Silver,Rosewill Computer Case - Legacy V3 Plus-S - Mini-ITX Aluminum Alloy Silver,No,,,,,,No,,,Legacy V3 Plus-S,1,,,,Top,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q25B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,,PC-Q25B,"3.5"" Drive bay x 7 ( Hot swap x 5 )",,No,,,,,,,,,,,,
Silverstone,1,,,,1,1,,,SilverStone RAVEN Series RVZ01B Black Reinforced plastic outer shell steel body Mini-ITX Desktop Computer Case SFX Power Supply,,,,,,,,,USB 3.0 / Audio / Mic,RVZ01B,1,,,3,,,,,,,,,,,
BitFenix Co. Ltd.,1,,,,1,1,,,BitFenix Prodigy with Window Cobalt Blue Steel / Plastic Mini-ITX Tower Computer Case,,,,,,,Yes,,USB 3.0 x 2 HD Audio,BFC-PRO-300-BBWKB-RP,,,,,Bottom,,,,,,3,,,,
BitFenix Co. Ltd.,1,,,,1,1,,Green,BitFenix Prodigy with Window Vivid Green Steel / Plastic Mini-ITX Tower Computer Case,,,,,,,Yes,,,BFC-PRO-300-GGWKG-RP,5,1,,,Bottom,,,,,,,,,,
Lian-Li,1,,,,,,1,Silver,Lian Li PC-Q33B Silver Aluminum Mini-ITX Tower Chassis,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q33A,2,,,3,,,,,,,FAN: 120mm x 1 (Rear),,,,
Lian-Li,1,,,,,,1,,Lian Li PC-Q33B Black Aluminum Mini-ITX Tower Chassis,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q33B,2,,,3,,,,,,,FAN: 120mm x 1 (Rear),,,,
Lian-Li,1,,,,,,1,,Lian Li PC-Q35B Black Aluminum Mini-ITX Tower Chassis,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q35B,5,"5 (HDD rack occupy with three 5.25"" bay )",,2,,,,,,,FAN: 120mm x 1 (Front) +...,,,,
Lian-Li,1,,,,,,1,,Lian Li PC-Q35A Black Aluminum Mini-ITX Tower Chassis,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q35A,5,"5 (HDD rack occupy with three 5.25"" bay )",,2,,,,,,,FAN: 120mm x 1 (Front) +...,,,,
Lian-Li,1,,,,,,1,,Lian Li PC-Q19B Black Aluminum Mini-ITX Tower Chassis,,,,,,,,,USB3.0 x 2,PC-Q19B,1,,,3,,,,,,,FAN: 120mm x 1,,,,
Lian-Li,1,,,,,,1,Silver,Lian Li PC-Q19B Silver Aluminum Mini-ITX Tower Chassis,,,,,,,,,USB3.0 x 2,PC-Q19A,1,,,3,,,,,,,FAN: 120mm x 1,,,,
Thermaltake,1,,,,,,,,Thermaltake Core V1 Extreme Mini ITX Cube Chassis Compatible with air and Liquid Cooling Builds (CA-1B8-00S1WN-00),No,,,,,,,,USB 3.0 x 2 HD Audio x 1,CA-1B8-00S1WN-00,,,,,,,,,,,Front: 1 x 120mm or 1 x 140mm or 1 x 200mm,,,,
Silverstone,1,,,,,1,,,SilverStone Sugo Series SG05BB-LITE Black SECC / Plastic Mini-ITX Desktop Computer Case with 2 x USB3.0 ports (Black),No,Bottom,,,,,,,,SG05BB-LITE,1,1 x 12.7mm slim optical drive,,,,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q01B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / Audio Fron...,PC-Q01B,2,,,,Top,,,,,,,,,,
In Win,1,,,,,,1,,IN WIN D-FRAME MINI BLACK Black Aluminum Computer Case Support ATX12V/EPS (Up to 220mm) Power Supply,,,,,,,,,USB 3.0 x 2 HD Audio,D-FRAME MINI BLACK,3.5_褲 or 2.5_褲 x 3,,,,,,,,,,Supports - 120mm Bottom Fan x 2 - 240mm Liquid Cooling Radiator (Height: up to 32mm with SSD) - CPU Heatsink up to 165mm,,,,
In Win,1,,,,,,1,,IN WIN D-FRAME MINI RED Red Aluminum Computer Case ATX12V PSII and EPS (Up to 220mm) Power Supply,,,,,,,,,USB 3.0 x 2 HD Audio,D-FRAME MINI RED,3.5_褲 or 2.5_褲 x 3,,,,,,,,,,Supports - 120mm Bottom Fan x 2 - 240mm Liquid Cooling Radiator (Height: up to 32mm with SSD) - CPU Heatsink up to 165mm,,,,
In Win,1,,,,,,1,Black/Orange,IN WIN D-FRAME MINI ORANGE Orange Aluminum Computer Case ATX12V PSII and EPS (Up to 220mm) Power Supply,,,,,,,,,USB 3.0 x 2 HD Audio,D-FRAME MINI ORANGE,3.5_褲 or 2.5_褲 x 3,,,,,,,,,,Supports - 120mm Bottom Fan x 2 - 240mm Liquid Cooling Radiator (Height: up to 32mm with SSD) - CPU Heatsink up to 165mm,,,,
Antec,1,,,,,1,,,Antec ISK 110 VESA Black ABS plastic / 0.8 mm SECC Mini-ITX Desktop Computer Case 90W External Adapter Up to 92% Efficiency Power Supply,Yes,,,,,,No,,,ISK 110 VESA,No,,No,,,,,,,,,,,,
APEVIA CORP.,1,,,,1,,,,APEVIA X-FIT-200 Black Steel Mini-ITX Tower Computer Case 250W Power Supply,Yes,,250W Power Supply,,,,,,2 x USB 2.0 2 x HD Audi...,X-FIT-200,1,1,,1,,,,,,,,,,,
APEVIA CORP.,1,,,,1,,,,APEVIA X-FIT-100 Black Steel Mini-ITX Tower Computer Case 250W Power Supply,Yes,,250W Power Supply,,,,,2 x USB 2.0 2 x HD Audi...,2 x USB 2.0 2 x HD Audio 1 x eSATA,X-FIT-100,1,"1 x Slim 5.25""",,,,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q26B Black Aluminum Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q26B,"3.5"" HDD x10 (Hot-Swap x2)",,,2.5-inch HDD x1,,,,,,,,,,,
Lian-Li,1,,,,,,1,Silver,LIAN LI PC-Q26A Silver Aluminum Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q26A,"3.5"" HDD x10 (Hot-Swap x2)",,,2.5-inch HDD x1,,,,,,,,,,,
Antec,1,,,,,1,1,,Antec ISK600 Black Aluminum / Plastic Mini-ITX Tower Computer Case,No,,,,,,No,,,ISK600,3,,,2,,,,,,,,,,,
Corsair,1,1,,,1,1,,White,Corsair Carbide Series CC-9011069-WW White Steel / Plastic MicroATX Mid Tower Air 240 High Airflow MicroATX and Mini-ITX PC Case,No,,,,,,,,USB 3.0,CC-9011069-WW,3,,,2,,,,,,,,,,,
Corsair,1,1,,,1,1,,,Corsair Carbide Series CC-9011070-WW Black Steel / Plastic MicroATX Mid Tower Air 240 High Airflow MicroATX and Mini-ITX PC Case,No,,,,,,,,USB 3.0,CC-9011070-WW,3,,,2,,,,,,,,,,,
Rosewill,1,,,,,,,,Rosewill Neutron - Mini ITX Gaming Cube 13.3_褲 VGA & 6 Fans,No,,,,,,,2 x USB 3.0 + 2 x USB 2....,2 x USB 3.0(internal 20-pin connector to MB) 2 x USB 2.0 Audio In/Out,Neutron,,,,,,,,,,,2x Front 120mm Red LED Fan (pre-installed) 2x Top 120mm Fan (option) Or 2 x Rear 120mm Fan (option),,,,
Cooler Master,1,,,,,,,,Cooler Master HAF Stacker 935 Two-Piece Mod-Tower Computer Case with Top Compartment for Extra Storage Space Water Cooling Support or Mini-ITX System,No,,,,,,Yes,,,HAF-935-KWN1,,3 + 1 (915R),,,Bottom,,,,,,,,,,
Corsair,1,,,,1,1,,White,Corsair Graphite Series CC-9011060-WW White Steel / Plastic Mini-ITX 380T Portable Mini ITX Case,No,,,,,,,,USB 3.0 headphone and microphone ports,CC-9011060-WW,2,,,,,,,,,,Front fan mounts: 1 x 200/140mm 2 x 120mm Side fan mounts: 2 x 120mm Rear fan mounts: 1 x 120mm,,,,
Corsair,1,,,,1,1,,,Corsair Graphite Series CC-9011061-WW Black Steel / Plastic Mini-ITX 380T Portable Mini ITX Case,No,,,,,,,,USB 3.0 headphone and microphone ports,CC-9011061-WW,2,,,2,,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q33WB Black Aluminum Mini-ITX Tower Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-Q33WB,2,,,3,,,,,,,,,,,
Lian-Li,1,,,,,,1,Silver,LIAN LI PC-Q01A Silver Aluminum Mini-ITX Tower Computer Case,No,,,,,,,,USB3.0 x2 HD Audio,PC-Q01A,2,,,2,,,,,,,,,,,
Logisys Computer,1,,,,,,1,,LOGISYS Computer CS6801BK Aluminum Mini-ITX Tower Computer Case 350W Power Supply,Yes,,350W Power Supply,,,,,,1x USB 3.0 1 x USB 2.0 ...,CS6801BK,1,1,,1,,,,,,,,,,,
Antec,1,,,,1,,,,Antec NSK3180 Black 0.7 SGCC Steel Micro ATX / Mini-ITX Computer Case 380W Power Supply,Yes,,380W Power Supply,,,,No,,2 x USB 3.0 / Audio Fron...,NSK3180,,2,,,Top,,,,,,,,,,
DEEPCOOL,1,,,,,1,,,DEEPCOOL STEAM CASTLE (WHITE) Unique Steam Punk Style With Side Window 200mm Fan(Front) Micro ATX / Mini-ITX +120mm Fan(Rear)+4 Magic Controllable LED Lights (Top) SGCC+PLASTIC (ABS),No,,4 adjustable LED lights ...,,,,Yes,,,STEAM CASTLE (WHITE),"3 (Switchable to 2.5"") (2 tool-free installation)",1,,2 (tool-free installation),,,,,1,,,,,,
DEEPCOOL,1,,,,,1,,,DEEPCOOL STEAM CASTLE (YELLOW) Unique Steam Punk Style With Side Window 200mm Fan(Front) Micro ATX / Mini-ITX+120mm Fan(Rear)+4 Magic Controllable LED Lights (Top) SGCC+PLASTIC (ABS),No,,4 adjustable LED lights ...,,,,Yes,,,STEAM CASTLE (YELLOW),"3 (Switchable to 2.5"") (2 tool-free installation)",1,,2 (tool-free installation),,,,,1,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-TU100B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,,,USB 3.0 x 2 HD Audio,PC-TU100B,4,1 x Slim ODD,,,,,,,,,,,,,
Rosewill,1,,,,1,,1,Silver,Rosewill Legacy W1-S - Mini-ITX Tower Computer Case - Window Silver Aluminum & Steel Dual-Fan,No,,,,,,Yes,,2 x USB 3.0 Ports Audio...,Legacy W1-S-Window,4,,,2,,,,,,,,,,,
Rosewill,1,,,,1,,1,,Rosewill Legacy- Mini-ITX Tower Computer Case - Window - Black Aluminum & Steel Dual-Fan - W1-B,No,,,,,,,2 x USB 3.0 Ports Audio...,2 x USB 3.0 Ports Audio In/Out,Legacy W1-B-Window,,,,,,,,,,,2 x top 120mm/140mm Fans support liquid cooling system(optional),,,,
Rosewill,1,,,,1,,1,,Rosewill Computer Case  - Legacy W1-B - Mini-ITX Tower Aluminum & Steel Black Dual Fans,No,,,,,,,2 x USB 3.0 Ports Audio...,2 x USB 3.0 Ports Audio In/Out,Legacy W1-B,,,,,,,,,,,2 x top 120mm/140mm Fans support liquid cooling system(optional),,,,
Lian-Li,1,,,,,,1,Silver,LIAN LI PC-TU100A Silver Aluminum Mini-ITX Tower Computer Case,No,,,,,,,,USB 3.0 x 2 HD Audio,PC-TU100A,4,1 x Slim ODD,,,,,,,,,,,,,
In Win,1,,,,,,,,IN WIN BQ656T.AD120TBL Black Mini-ITX Desktop Computer Case 120W Power Supply,AD120A7-2,,120W Power Supply,,,,No,,,BQ656T.AD120TBL,No,,No,,,,,,,,,,,,
Antec,1,,,,1,,,Silver,Antec ISK 310-150 Black / Silver 0.8mm cold rolled steel Mini-ITX Desktop Computer Case 150W Power Supply,Yes,,150W Power Supply,,,,No,,,ISK 310-150,,1,,2,,,,,,,,,,,
Silverstone,1,,,,,1,,,SilverStone Sugo Series SG05BB-450-USB3.0 ALL Black Plastic / SECC Mini-ITX Desktop Computer Case with SFX 450W 80+ Bronze Certified / Single +12V rail Power Supply with 2 x USB3.0 ports (Black),Yes,,,,,,No,,2 x USB 3.0 / Audio Fron...,SST-SG05BB-450-USB3.0,,Slim optical drive bay x 1,,,Top,,,,,,,,,,
Athenatech U.S.A. Inc.,1,,,,1,,,,Athenatech  A1089BB.150  Glossy Black  SECC Steel  Mini-ITX Tower  Computer Case150W  Power Supply with Glossy Black Front Panel,Yes,,150W Power Supply,,,,,,USB / Audio,A1089BB.150,1,1,,,,,,,,,,,,,
Athenatech U.S.A. Inc.,1,,,,1,,,,Athenatech  A1089BR.150  Glossy Black  SECC Steel  Mini-ITX Tower  Computer Case150W  Power Supply with Red Front Panel,Yes,,150W Power Supply,,,,,,USB / Audio,A1089BR.150,1,1,,,,,,,,,,,,,
Athenatech U.S.A. Inc.,1,,,,1,,,,Athenatech  A1089HG.150 SECC Steel  Mini-ITX Tower  Computer Case150W  Power Supply with Hairline Texture Body,Yes,,150W Power Supply,,,,No,,,A1089HG.150,,1,,,Top,,,,,,,,,,
Athenatech U.S.A. Inc.,1,,,,1,,,,Athenatech A1019HG.150 Black SECC Steel Mini-ITX Desktop Computer Case 150W Power Supply with Hairline Texture Body,Yes,,150W Power Supply,,,,No,,,A1019HG.150,,1 (Slim),,,Top,,,,,,,,,,
In Win,1,,,,,,1,Green,IN WIN H-Frame Mini Green Aluminum Mini-ITX Computer Case 180W Power Supply,Yes,,180W Power Supply,,Low profile card slot x 1,,,,USB 3.0 x 2 and HD audio,H-Frame Mini Green,,,,2,,,,,,,,,,,
In Win,1,,,,,,1,,IN WIN H-Frame Mini Red Aluminum Mini-ITX Computer Case 180W Power Supply,Yes,,180W Power Supply,,Low profile card slot x 1,,,,USB 3.0 x 2 and HD audio,H-Frame Mini Red,,,,2,,,,,,,,,,,
Thermaltake,1,,,,1,,,,Thermaltake SD101 VP11821N2U Black Steel Mini-ITX Tower Computer Case 180W Power Supply,Yes,,180W Power Supply,,,,Yes,,,VP11821N2U,,1,,,Bottom,,,,,,,,,,
Thermaltake,1,,,,,,,,Thermaltake Element Qi w 200W PSU Black SGCC Mini-ITX Tower Computer Case 220W Power Supply,Yes,,220W Power Supply,,,,,,USB 3.0 x 2 HD-Audio,Element Qi w 200W PSU,2,1,,,,,,,,,,,,,
APEX (SUPERCASE/ALLIED),1,,,,1,,,,APEX MI-100BK Black Steel Mini-ITX Tower Computer Case 250W Power Supply,Yes,,250W Power Supply,,,,No,,,MI-100BK,,1,1,,,,,,,,,,,,
EVGA,1,,,,,,,,EVGA Hadron Hydro Mini-ITX Chassis Black with 500W 80Plus Gold Power Supply (110-MW-1002-K1),Yes,,,,,,USB 3.0 x 2 / USB 2.0 x 2 / HD Audio,2 x USB 3.0 Audio in/ou...,2 x USB 3.0 Audio in/out,110-MW-1002-K1,"2 x 3.5"" (2.5"")",,,,,,,,,,2,,,,
Silverstone,1,,,,,,1,,SilverStone SST-SG08B Black 10mm aluminum front panel SECC body Mini-ITX Desktop Computer Case 600W Power Supply,Yes,,600W Power Supply,,,,No,,,SST-SG08B,,,No,,Top,,,,,,,,,,
Corsair,1,,,,1,1,,,Corsair Graphite Series CC-9011065-WW Yellow Steel/ Plastic Mini-ITX 380T Portable Mini ITX Case,No,,,,,,,,USB 3.0 / Audio,CC-9011065-WW,2,,,2,,,,,,,,,,,
Thermaltake,1,,,,,,,,Thermaltake Core X1 Black Mini ITX Stackable Tt LCS Certified Cube Chassis CA-1D6-00S1WN-00,,,,,,,Yes,2 x USB 3.0,2 x USB 3.0 / Audio,CA-1D6-00S1WN-00,,,,,,,,,,,Front (intake) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA) Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA),,,,
EVGA,1,,,,,,,,EVGA Hadron Air Mini-ITX Chassis Black with 500W 80Plus Gold Power Supply (110-MA-1001-K1),Yes,,,,,,Yes,,2 x USB 3.0,110-MA-1001-K1,2,,,2,,,,,,,,,,,
DEEPCOOL,1,,,,,1,,,DEEPCOOL STEAM CASTLE (BLACK) Unique Steam Punk Style With Side Window 200mm Fan(Front) Micro ATX / Mini-ITX+120mm Fan(Rear)+4 Magic Controllable LED Lights (Top) SGCC+PLASTIC(ABS)+RUBBER COATING,No,,,,,,Yes,,,STEAM CASTLE (BLACK),"3 (Switchable to 2.5"") (2 tool-free installation)",1,,2 (tool-free installation),,,,,1,,,,,,
In Win,1,,,,1,1,,,IN WIN IW-BQ656T.AD120TB3 Black Steel / Plastic Mini-ITX Tower Computer Case Option 1: 120W Internal PSU (IP-AD120A7-2) Option 2: DC-DC Inverter Board (IP-V120DD) + 120W External Adaptor Power Supply,No,,,,,,No,,2 x USB 2.0 / Audio Fron...,IW-BQ656T.AD120TB3,,,,"2.5"" HDD x 1",Bottom,,,,,,,,,,
Fractal Design,1,,,,1,,1,,Fractal Design Node 304 FD-CA-NODE-304-BL Black Aluminum / Steel Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / Audio Fron...,FD-CA-NODE-304-BL,,,No,,Bottom,,,,,,,,,,
Cooler Master,1,,,,1,1,,,COOLER MASTER Elite 110 RC-110-KKN2 Midnight Black Steel / Plastic Mini-ITX Tower Computer Case with Standard Size ATX PSU and 120mm Radiator Support,No,,,,,,,,,RC-110-KKN2,,,,,,,,,,,Front: 120mm fan x 1 (installed converted to 140mm fan x 1),,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q03B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / Audio Fron...,PC-Q03B,,1 (Slim ODD),,,Top,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q08B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / Audio Fron...,PC-Q08B,,1,,,Top,,,,,,,,,,
Lian-Li,1,,,,,,1,Silver,LIAN LI PC-Q28A Silver Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / Audio Fron...,PC-Q28A,,1,,,Top,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q30X Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / Audio Fron...,PC-Q30X,,,,4,Bottom,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q28B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 / HD Audio F...,PC-Q28B,4,1,,,,,,,,,,,,,
Cooler Master,1,,,,,,,,Cooler Master Elite 130 - Mini-ITX Computer Case with Mesh Front Panel and Water Cooling Support,No,,,,,,No,,2 x USB 3.0 Audio input...,RC-130-KKN1,"3 (1 from 5.25"" drive bay)",1,,,,,,,,,,,,,
DIYPC,1,,,,1,,1,,DIYPC HTPC-Cube-BK Black USB3.0 Aluminum/Steel Mini-ITX Tower Computer case can support 120mm Radiator Standard Size ATX PSU,No,,,,,,,,2 x USB 3.0 Front Ports,HTPC-Cube-Bk,1,,,2,,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q27B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,2 x USB 3.0 Front Ports ...,PC-Q27B,,"1 or 3.5"" HDD x 1",No,,,,,,,,,,,,
AeroCool,1,,,,1,,,,AeroCool Xpredator Cube Red Steel Mini-ITX Cube Computer Case,,,,,,,,2 x USB3.0  HD Audio+ M...,2 x USB3.0  HD Audio+ MIC 1 x Fan Controller,Xpredator Cube Red,3,1,,5,,,,,,,,,,,
AeroCool,1,,,,1,,,,AeroCool StrikeX Cube Red Steel Mini-ITX Cube Computer Case,,,,,,,,2 x USB3.0  HD Audio+ M...,2 x USB3.0  HD Audio+ MIC 1 x Fan Controller,StrikeX Cube Red,3,1,,5,,,,,,,,,,,
Ark Technology Inc.,1,,,,,,,Black,Black Ark Mini-ITX Case w/ 300W Power Supply and 80mm Blue LED Fan PI-01 -- Computer Case,Yes,Bottom,,,,,With Side Window,,,PI-01,,,,,,,,,,,,,,,
Ark Technology Inc.,1,,,,,,,Black,Black Ark Mini-ITX Case w/ 300W Power Supply and 80mm Blue LED Fan PI-01 -- Computer Case,,Yes,,,,,With Side Window,,,9SIC4C2HM019,,,,,,,,,,,,,,,
BitFenix Co. Ltd.,1,,,,1,1,,White,BitFenix Phenom BFC-PHE-300-WWXKK-RP Arctic White Steel / Plastic Mini-ITX Tower Computer Case,No,Front,,,,,,,,BFC-PHE-300-WWXKK-RP,5 + 1 using included adapter,,,5 + 2 + 2 + 1 + 1 using included adapter,,,,,,,,,,,
BitFenix Co. Ltd.,1,,,,1,1,,,BitFenix Phenom BFC-PHE-300-KKXKK-RP Midnight Black Steel / Plastic Mini-ITX Tower Computer Case,No,,,,,,,,No,,,,,,Bottom,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-TU200B Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,,PC-TU200B,,1,No,,,,,,,1 x 140mm front fan,,,,,
Rosewill,1,,,,,,,Silver,Rosewill Computer Case - Legacy V6-S - Mini-ITX Cube ABS Iron & SGCC; Silver,No,,,,,,No,,1 x USB3.0 Port 1 x USB2.0 Port Audio In/Out,Legacy V6-S,,,,,,,,,,1 x 140mm Rear Fan (Buil...,,,,,
Rosewill,1,,,,,,,,Rosewill Computer Case - LEGACY V6-B - Mini-ITX Tower,No,,,,,,No,,1 x USB3.0 Port 1 x USB2.0 Port Audio In/Out,Legacy V6-B,4,,,,,,,,,1 x 140mm Rear Fan (Buil...,,,,,
BitFenix Co. Ltd.,1,,,,,,,,BitFenix Phenom BFC-PHE-300-WWXKK-RP No Power Supply Mini-ITX Tower Case (White),Supports PS2 ATX Power Supply,,,,,,No,,USB 3.0,C9184-190933763008,,,,,Bottom,,,,,,,,,,
Corsair,1,,,,1,,1,,Corsair Obsidian Series 250D (CC-9011047-WW) Black Aluminum / Steel Mini-ITX Tower Computer Case,,,,,,,Yes,,,250D (CC-9011047-WW),"2 x 3.5"" ( 2.5""drives)",1,,2,,,,,,,,,,,
Raidmax,1,,,,1,1,,,RAIDMAX Element ATX-101B Black/Grey Steel / Plastic Mini-ITX Tower Computer Case,No,Bottom,,,,,,,,ATX-101B,2,1,,,,,,,,,,,,,
Raidmax,1,,,,1,1,,black/green,RAIDMAX Element ATX-101BG Black/Green Steel / Plastic Mini-ITX Tower Computer Case,No,Bottom,,,,,,,,ATX-101BG,2,1,,,,,,,,,,,,,
Raidmax,1,,,,1,1,,,RAIDMAX Element ATX-101BU Black/Blue Steel / Plastic Mini-ITX Tower Computer Case,No,Bottom,,,,,,,,ATX-101BU,2,1,,,,,,,,,,,,,
Raidmax,1,,,,1,1,,,RAIDMAX Element ATX-101BP Black/Pink Steel / Plastic Mini-ITX Tower Computer Case,No,Bottom,,,,,,,,ATX-101BP,2,1,,,,,,,,,,,,,
Cooler Master,1,,,,,,,,Cooler Master HAF Stacker 915R Mini-ITX Computer Case - Can Support Up To 280mm Radiators (Rear PSU Mount),No,,,,,,No,,USB 3.0 x 2 (No reset button) / Audio,HAF-915R-KKN1,,,,,,,,,,,,,,,
Cooler Master,1,,,,,,,,Cooler Master HAF Stacker 915F Mini-ITX Computer Case - Supports Large CPU Air Coolers (Front PSU Mount),No,,,,,,,,USB 3.0 x 2 (No reset button) / Audio,HAF-915F-KKN1,,,,,,,,,,,1,,,,
In Win,1,,,,,,1,Silver,IN WIN 901 Silver Aluminum / Tempered Glass Mini-ITX Tower Computer Case,No,,,,,,No,,,901,,0,,,Bottom,,,,,,,,,,
Silverstone,1,,,,1,,1,,SilverStone SG08B-LITE Black Aluminum / Steel Mini-ITX Desktop Computer Case,,,,,2,,,,USB 3.0 x 2 /Audio x 1/MIC x 1,SG08B-LITE,1,,,2,,,,,,,,,,,
XIGMATEK,1,,,,1,1,,,Xigmatek Eris EN6305 Black Steel / Plastic Mini-ITX Tower Computer Case,No,Bottom,,,,,,,,EN6305,1 compatible with 5.25_褲& 2.5_褲 + 1,1 compatible with 3.5_褲 & 2.5_褲,,,,,,,,,,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-Q07B USB3.0 Black Aluminum Mini-ITX Tower Computer Case,No,,,,,,No,,,PC-Q07B USB3.0,,1,,,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,1,,,,1,1,,Black/Orange,BitFenix Prodigy BFC-PRO-300-OOXKO-RP Atomic Orange Steel / Plastic Mini-ITX Tower Computer Case,No,,,,,,No,,,BFC-PRO-300-OOXKO-RP,,1 (removable),,,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,1,,,,1,1,,,BitFenix Prodigy BFC-PRO-300-RRXKR-RP Fire Red Steel / Plastic Mini-ITX Tower Computer Case,No,,,,,,No,,,BFC-PRO-300-RRXKR-RP,,1 (removable),,,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,1,,,,1,1,,White,BitFenix Prodigy Arctic White Steel / Plastic Mini-ITX Tower Computer Case,No,,,,,,No,,,BFC-PRO-300-WWXKW-RP,,1,,,Bottom,,,,,,,,,,
BitFenix Co. Ltd.,1,,,,1,1,,,BitFenix Prodigy Midnight Black / Black Steel / Plastic Mini-ITX Tower Computer Case,,Bottom,,,,,,,USB 3.0 x 2 HD Audio,BFC-PRO-300-KKXSK-RP,,,,,,,,,,,1 x 120mm Front Fan 1 x 120mm Rear Fan,,,,
Lian-Li,1,,,,,,1,,LIAN LI PC-O5X Black Side Panel: Tempered Glass Body Material: Aluminum Mini Chassis Computer Case,,,,,,,,,USB3.0 x 2 HD Audio,PC-O5X,,"1 (Slim ODD) or 3.5""/2.5"" HDD x1","HDD Rack: 3.5"" x2 + 2.5"" x1 Behind the MB tray: 3.5"" x1 + 2.5"" x1 or 2.5"" x2 On the MB tray: 3.5"" x1 + 2.5"" x1 or 2.5"" x2 (Occupies 2 PCI slot space)",,,,,,,,,,,,
