manufacturer,description,wattag,Class,modular,plus_80,rail_12v,pcie_6+2_pin,pcie_6_pin,pcie_8_pin,main_connector,fans_120mm,fans_135mm,fans_80mm,fans_140mm,featurelist_contents
Antec,Antec  EA550  550W  ATX12V / EPS12V  80 PLUS BRONZE Certified  Power Supply,550,,,80 PLUS BRONZE Certified...,2,2,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6+2-Pin; Model #: EA550; Item #: N82E16817371087; Return Policy: Standard Return Policy
Antec,Antec Basiq BP350 350W ATX12V v2.01 Power Supply - Intel Haswell Fully Compatible,350,,,,2,0,0,0,20+4,,,1,,Fans: 1 x 80mm low noise cooling fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: No; Model #: BP350; Item #: N82E16817371003; Return Policy: View Return Policy
Antec,Antec VP-450 450W ATX 12V v2.3 Power Supply - Intel Haswell Fully Compatible,450,,,,2,,1,,20+4,1,,,,Fans: 1 x 120mm Fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: VP-450; Item #: N82E16817371045; Return Policy: View Return Policy
Antec,Antec K61916W Antec Basiq BP350 350 Watt Power Supply,350,,,,,,,,,,,,,Model #: K61916W; Return Policy: View Return Policy
Antec,Earthwatts Ea650 Green 650W 80Plus Bronze Atx12V V2.3 Power Supply,650,EarthWatts,,,,,,,,,,,,Model #: EA650 GREEN; Item #: 9SIA4CP1GG1489; Return Policy: View Return Policy
Antec,Entry-Level 450W Power Supply,450,,,,,,,,,,,,,Model #: VP450; Return Policy: View Return Policy
Antec,ANTEC EA-650 GREEN 650W ENERGY EFFICIENT PSU 80,650,,,,,,,,,,,,,Model #: EA-650 GREEN/ANT; Item #: 9SIA25V2EU4072; Return Policy: View Return Policy
APEVIA CORP.,APEVIA ATX-CB700W 700W ATX12V / EPS12V SLI Ready CrossFire Ready Power Supply - OEM,700,,,,2,2,2,,20+4,,,,,Fans: 1 x 120 mm UV Blue LED Fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6-Pin 2 x 6+2-Pin; Model #: ATX-CB700W; Item #: N82E16817148046; Return Policy: Standard Return Policy
APEVIA CORP.,APEVIA ICEBERG ATX-IB680W-GN 680W ATX12V / EPS12V SLI Ready Power Supply With 3-Color LED Lights,430,,,,2,,2,,20+4,,,,,Fans: 2; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6-Pin; Model #: ATX-IB680W-GN; Item #: N82E16817148030; Return Policy: Standard Return Policy
APEVIA CORP.,APEVIA See-Through ATX-AS500W-BK 500W ATX12V Power Supply,500,,,,2,0,0,0,24,,,,,Fans: 2; Main Connector: 24Pin; +12V Rails: 2; PCI-Express Connector: No; Model #: ATX-AS500W-BK; Item #: N82E16817148001; Return Policy: Standard Return Policy
