manufacturer,description,wattag,Class,modular,plus_80,rail_12v,pcie_6+2_pin,pcie_6_pin,pcie_8_pin,main_connector,fans_120mm,fans_135mm,fans_80mm,fans_140mm,featurelist_contents
CoolMax,COOLMAX CX-350B (Black) 350W ATX12V v2.0 Power Supply,350,,,,2,0,0,0,20+4,1,,,,Fans: 1 x 120mm silent fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: No; Model #: CX-350B (Black); Item #: 9SIA0ZX2C28547; Return Policy: View Return Policy
CoolMax,COOLMAX ZU Series ZU-600B 600W ATX12V v2.31 / EPS12V v2.91 SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Modular Active PFC Power Supply,600,,Modular,,1,1,1,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 1 x 6-Pin 1 x 6+2-Pin; Model #: ZU-600B; Return Policy: View Return Policy
CoolMax,COOLMAX ZU Series ZU-1000B 1000W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Modular Active PFC Power Supply,1000,,Modular,,1,2,2,,20+4,,,,1,Fans: 1 x 140mm; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6-Pin 2 x 6+2-Pin; Model #: ZU-1000B; Item #: N82E16817159132; Return Policy: Standard Return Policy
CoolMax,COOLMAX ZP-750B 750W ATX 12V V2.3 / EPS 12V V2.92 80 PLUS BRONZE Certified Modular Active PFC Power Supply,750,,Modular,,4,2,2,,24,,,,1,Fans: 140mm silent fan; Main Connector: 24Pin; +12V Rails: 4; PCI-Express Connector: 2 x 6-Pin 2 x 6+2-Pin; Model #: ZP-750B; Item #: N82E16817159114; Return Policy: Standard Return Policy
CoolMax,COOLMAX V-600 600W ATX12V version 2.2 Power Supply,600,,,,3,,1,,20+4,,,,1,Fans: 140mm low speed cooling fan; Main Connector: 20+4Pin; +12V Rails: 3; PCI-Express Connector: 1 x 6-Pin; Model #: V-600; Return Policy: View Return Policy
CoolMax,COOLMAX V-500 500W ATX Power Supply,500,,,,1,0,0,0,20+4,1,,,,Fans: 120mm silent fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: No; Model #: V-500; Item #: N82E16817159062; Return Policy: Standard Return Policy
CoolMax,COOLMAX ZX Series ZX-500 500W ATX12V v2.2 / EPS12V v2.91 SLI Ready CrossFire Ready 80 PLUS Certified Active PFC Power Supply,500,,,80 PLUS Certified,1,1,1,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 1 x 6-Pin 1 x 6+2-Pin; Model #: ZX-500; Item #: N82E16817159124; Return Policy: Standard Return Policy
CoolMax,COOLMAX CU-500B 500W ATX 12V V2.2/EPS 12V V2.91 Modular Power Supply,500,,Modular,,3,,1,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 3; PCI-Express Connector: 1 x 6-Pin; Model #: CU-500B; Item #: N82E16817159087; Return Policy: View Return Policy
CoolMax,COOLMAX CU-500B 500W ATX 12V V2.2/EPS 12V V2.91 Modular Power Supply,500,,Modular,,3,,1,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 3; PCI-Express Connector: 1 x 6-Pin; Model #: CU-500B; Item #: N82E16817159087; Return Policy: View Return Policy
CoolMax,COOLMAX M-500 500W ATX12V Power Supply,500,,,,2,,1,,20+4,1,,,,Fans: 120mm Fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: M-500; Item #: N82E16817159066; Return Policy: Standard Return Policy
CoolMax,COOLMAX CM-300 300W Micro ATX Power Supply,300,,,,1,0,0,0,,,,1,,Fans: 1 x 80mm silent fan; Main Connector: 20Pin; +12V Rails: Single; PCI-Express Connector: No; Model #: CM-300; Return Policy: View Return Policy
CoolMax,COOLMAX CUL-750B 750W ATX 12V v2.3 / EPS12V v2.91 SLI/Crossfire ready Modular and Compatible with Core i3/i5/i7 Power Supply,750,,,,4,1,1,,20+4,,,,1,Fans: 1 x 140mm Blue LED silent fan; Main Connector: 20+4Pin; +12V Rails: 4; PCI-Express Connector: 1 x 6-Pin 1 x 6+2-Pin; Model #: CUL-750B; Item #: N82E16817159111; Return Policy: Standard Return Policy
CoolMax,COOLMAX CUL-950B 950W ATX 12V v2.3 / EPS12V v2.91 SLI / CrossFire Ready Modular Active PFC and Compatible with Core i3/i5/i7 Power Supply,950,,,,5,2,2,,20+4,,,,1,Fans: 1 x 140mm Blue LED silent fan; Main Connector: 20+4Pin; +12V Rails: 5; PCI-Express Connector: 2 x 6-Pin 2 x 6+2-Pin; Model #: CUL-950B; Return Policy: View Return Policy
CoolMax,COOLMAX CA-350 350W ATX Power Supply,350,,,,1,,,,,,,,,Fans: 1; Main Connector: 20Pin; +12V Rails: Single; Over Voltage Protection: Yes; Model #: CA-350; Return Policy: View Return Policy
Corsair,CORSAIR CX series CX750 750W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,750,CX Series,,80 PLUS BRONZE Certified...,1,,,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: Single; SATA Power Connector: 6; Model #: CX750; Item #: N82E16817139040; Return Policy: Standard Return Policy
Corsair,CORSAIR AX1500i CP-9020057-NA 1500W ATX12V / EPS12V 80 PLUS Titanium certified Full Modular Power Supply,1500,,Full Modular,,1,6,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 6 x 6+2-Pin 2 x 8-Pin; Model #: CP-9020057-NA; Item #: N82E16817139079; Return Policy: View Return Policy
Corsair,CORSAIR HXi HX850i CP-9020073-NA 850W ATX12V / EPS12V 80 PLUS PLATINUM Certified Full Modular Power Supply,850,,Full Modular,,1,3,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 3 x 6+2-Pin; Model #: CP-9020073-NA; Item #: N82E16817139083; Return Policy: Standard Return Policy
Corsair,CORSAIR AX series AX860 860W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS PLATINUM Certified Full Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,860,,Full Modular,,1,6,,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: Single; PCI-Express Connector: 6 x 6+2-Pin; Model #: AX860; Item #: N82E16817139044; Return Policy: Standard Return Policy
Corsair,CORSAIR HXi HX1000i CP-9020074-NA 1000W ATX12V / EPS12V 80 PLUS PLATINUM Certified Full Modular Power Supply,1000,,Full Modular,,1,4,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 4 x 6+2-Pin; Model #: CP-9020074-NA; Item #: N82E16817139082; Return Policy: Standard Return Policy
Corsair,CORSAIR HXi HX750i CP-9020072-NA 750W ATX12V / EPS12V 80 PLUS PLATINUM Certified Full Modular Power Supply,750,,Full Modular,,1,3,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 3 x 6+2-Pin; Model #: CP-9020072-NA; Item #: N82E16817139084; Return Policy: Standard Return Policy
Corsair,CORSAIR CSM Series CS450M 450W ATX12V v2.4 and EPS 2.92 80 PLUS GOLD Certified Semi-Modular Active PFC Power Supply,450,,Semi-Modular,,,1,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; PCI-Express Connector: 1 x 6+2-Pin; SATA Power Connector: 4; Model #: CS450M; Item #: N82E16817139058; Return Policy: Standard Return Policy
Corsair,CORSAIR RM Series RM1000 1000W ATX12V v2.31 and EPS 2.92 80 PLUS GOLD Certified Full Modular Active PFC Power Supply,1000,RM Series,Full Modular,,,,,,,,,,,Fans: 1; Efficiency: 92 %; Features: The latest ATX12V v2.31 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2 and ATX12V 2.01 systems. 4th generation IntelR Core. processor Ready (Intel Haswell and Z78 motherboards) 80PLUS Gold certified delivering over 92% energy efficiency at real world load conditions. The completely modular cable system allows you to use only the cables you need. Low-profile flat cable design reduces air friction and helps maximize airflow through your computer's chassis. High-quality Japanese capacitors provide uncompromised performance and reliability. A five year warranty and lifetime access to Corsair's legendary technical support and customer service. Active Power Factor Correction (PFC) with PF value of 0.99. Universal AC input from 100~240V. Over-voltage and over-current protec...; Model #: RM1000; Item #: N82E16817139057; Return Policy: Standard Return Policy
Corsair,CORSAIR RM Series RM750 750W ATX12V v2.31 and EPS 2.92 80 PLUS GOLD Certified Full Modular Active PFC Power Supply,750,RM Series,Full Modular,,,,,,,,,,,Fans: 1; Efficiency: 92 %; Weight: 8.1; Features: The latest ATX12V v2.31 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2 and ATX12V 2.01 systems. 4th generation IntelR Core. processor Ready (Intel Haswell and Z78 motherboards) 80PLUS Gold certified delivering over 92% energy efficiency at real world load conditions. The completely modular cable system allows you to use only the cables you need. Low-profile flat cable design reduces air friction and helps maximize airflow through your computer's chassis. High-quality Japanese capacitors provide uncompromised performance and reliability. A five year warranty and lifetime access to Corsair's legendary technical support and customer service. Active Power Factor Correction (PFC) with PF value of 0.99. Universal AC input from 100~240V. Over-voltage ...; Model #: RM750; Item #: N82E16817139055; Return Policy: Standard Return Policy
Corsair,CORSAIR RM Series RM450 450W ATX12V v2.31 and EPS 2.92 80 PLUS GOLD Certified Full Modular Active PFC Power Supply,450,RM Series,Full Modular,,,,,,,,,,,Fans: 1; Efficiency: 92 %; Features: The latest ATX12V v2.31 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2 and ATX12V 2.01 systems. 4th generation IntelR Core. processor Ready (Intel Haswell and Z78 motherboards) 80PLUS Gold certified delivering over 92% energy efficiency at real world load conditions. The completely modular cable system allows you to use only the cables you need. Low-profile flat cable design reduces air friction and helps maximize airflow through your computer's chassis. High-quality Japanese capacitors provide uncompromised performance and reliability. A five year warranty and lifetime access to Corsair's legendary technical support and customer service. Active Power Factor Correction (PFC) with PF value of 0.99. Universal AC input from 100~240V. Over-voltage and over-current protec...; Model #: RM450; Item #: N82E16817139052; Return Policy: Standard Return Policy
Corsair,CORSAIR RM Series RM550 550W ATX12V v2.31 and EPS 2.92 80 PLUS GOLD Certified Full Modular Active PFC Power Supply,550,RM Series,Full Modular,,,,,,,,,,,Fans: 1; Efficiency: 92 %; Features: The latest ATX12V v2.31 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2 and ATX12V 2.01 systems. 4th generation IntelR Core. processor Ready (Intel Haswell and Z78 motherboards) 80PLUS Gold certified delivering over 92% energy efficiency at real world load conditions. The completely modular cable system allows you to use only the cables you need. Low-profile flat cable design reduces air friction and helps maximize airflow through your computer's chassis. High-quality Japanese capacitors provide uncompromised performance and reliability. A five year warranty and lifetime access to Corsair's legendary technical support and customer service. Active Power Factor Correction (PFC) with PF value of 0.99. Universal AC input from 100~240V. Over-voltage and over-current protec...; Model #: RM550; Item #: N82E16817139053; Return Policy: Standard Return Policy
Corsair,CORSAIR RM Series RM550 550W ATX12V v2.31 and EPS 2.92 80 PLUS GOLD Certified Full Modular Active PFC Power Supply,550,RM Series,Full Modular,,,,,,,,,,,Fans: 1; Efficiency: 92 %; Features: The latest ATX12V v2.31 and EPS 2.92 standards and it is backward compatible with ATX12V 2.2 and ATX12V 2.01 systems. 4th generation IntelR Core. processor Ready (Intel Haswell and Z78 motherboards) 80PLUS Gold certified delivering over 92% energy efficiency at real world load conditions. The completely modular cable system allows you to use only the cables you need. Low-profile flat cable design reduces air friction and helps maximize airflow through your computer's chassis. High-quality Japanese capacitors provide uncompromised performance and reliability. A five year warranty and lifetime access to Corsair's legendary technical support and customer service. Active Power Factor Correction (PFC) with PF value of 0.99. Universal AC input from 100~240V. Over-voltage and over-current protec...; Model #: RM550; Item #: N82E16817139053; Return Policy: Standard Return Policy
Corsair,CORSAIR HX series HX650 650W ATX12V v2.2 / EPS12V 2.91 SLI Ready 80 PLUS GOLD Certified Modular Active PFC Power Supply,650,HX Series,Modular,,1,2,,,20+4,1,,,,Fans: 120mm double ball-bearing fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: HX650; Item #: N82E16817139012; Return Policy: Standard Return Policy
Corsair,CORSAIR HX series HX650 650W ATX12V v2.2 / EPS12V 2.91 SLI Ready 80 PLUS GOLD Certified Modular Active PFC Power Supply,650,HX Series,Modular,,1,2,,,20+4,1,,,,Fans: 120mm double ball-bearing fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: HX650; Item #: N82E16817139012; Return Policy: Standard Return Policy
Corsair,CORSAIR HX Series HX850 850W ATX12V 2.3 / EPS12V 2.91 SLI Ready CrossFire Ready 80 PLUS GOLD Certified Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,850,HX Series,Modular,,1,6,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 6 x 6+2-Pin; Model #: HX850; Item #: N82E16817139011; Return Policy: Standard Return Policy
Corsair,CORSAIR HX Series HX750 750W ATX12V 2.3 / EPS12V 2.91 SLI Ready CrossFire Ready 80 PLUS GOLD Certified Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,750,HX Series,Modular,,1,4,,,20+4,,,,1,Fans: 140mm double ball-bearing fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 4 x 6+2-Pin; Model #: HX750; Item #: N82E16817139010; Return Policy: Standard Return Policy
Corsair,CORSAIR HX Series HX1050 1050W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS GOLD Certified Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,1050,HX Series,Modular,,1,6,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 6 x 6+2-Pin; Model #: HX1050; Item #: N82E16817139034; Return Policy: Standard Return Policy
Corsair,CORSAIR CX series CX750M 750W ATX12V v2.3 80 PLUS BRONZE Certified Modular Active PFC Power Supply New 4th Gen CPU Certified,750,CX Series,Modular,,1,4,,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: Single; PCI-Express Connector: 4 x 6+2-Pin; Model #: CX750M; Item #: N82E16817139051; Return Policy: Standard Return Policy
Corsair,CORSAIR CXM series CX430M 430W ATX12V v2.3 80 PLUS BRONZE Certified Modular Active PFC Power Supply,430,CXM,Modular,,1,1,,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: Single; PCI-Express Connector: 1 x 6+2-Pin; Model #: CX430M; Item #: N82E16817139049; Return Policy: Standard Return Policy
Corsair,CORSAIR CXM series CX600M 600W ATX12V v2.3 SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Modular Active PFC CORSAIR CP-9020060-NA Power Supply,600,CXM,Modular,,1,2,,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: CX600M; Item #: N82E16817139048; Return Policy: Standard Return Policy
Corsair,CORSAIR CXM series CX500M 500W ATX12V v2.3 SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Modular Active PFC Power Supply,500,CXM,Modular,,1,2,,,24,,,,,Fans: 1; Main Connector: 24Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: CX500M; Item #: N82E16817139050; Return Policy: Standard Return Policy
Corsair,CORSAIR CX Series CX850M CP-9020099-NA 850W ATX12V / EPS12V 80 PLUS BRONZE Certified Modular Power Supply,850,CX Series,Semi-Modular,,1,3,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 3 x 6+2-Pin; Model #: CP-9020099-NA; Item #: N82E16817139099; Return Policy: Standard Return Policy
Corsair,CORSAIR CX series CX600 600W ATX12V v2.3 80 PLUS BRONZE Certified Active PFC Power Supply,600,CX Series,,80 PLUS BRONZE Certified...,1,2,,,20+4,1,,,,Fans: 1 x 120mm fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: CX600; Item #: N82E16817139028; Return Policy: Standard Return Policy
Corsair,CORSAIR CX series CX500 500W ATX12V v2.3 80 PLUS BRONZE Certified Active PFC Power Supply,500,CX Series,,80 PLUS BRONZE Certified...,1,2,,,20+4,1,,,,Fans: 1 x 120mm fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: CX500; Item #: N82E16817139027; Return Policy: Standard Return Policy
Corsair,CORSAIR CX series CX430 430W ATX12V v2.3 80 PLUS BRONZE Certified Active PFC Power Supply,430,CX Series,,80 PLUS BRONZE Certified...,1,1,,,20+4,1,,,,Fans: 1 x 120mm fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 1 x 6+2-Pin; Model #: CX430; Item #: N82E16817139026; Return Policy: Standard Return Policy
Corsair,Corsair CX430 - 80 PLUS Bronze Certified Power Supply,430,,,80 PLUS BRONZE Certified...,1,,,,,,,,,Fans: 1; +12V Rails: Single; SATA Power Connector: 4; Output: +3.3V@20A +5V@20A +12V@32A -12V@0.8A +5VSB@3.0A; Model #: CP-9020046-US; Item #: 177-002B-00004; Return Policy: View Return Policy
Corsair,Corsair CX430 - 80 PLUS Bronze Certified Power Supply,,,,80 PLUS BRONZE Certified...,1,,,,,,,,,Fans: 1; +12V Rails: Single; SATA Power Connector: 4; Output: +3.3V@20A +5V@20A +12V@32A -12V@0.8A +5VSB@3.0A; Model #: CP-9020046-US; Item #: 177-002B-00004; Return Policy: View Return Policy
Corsair,CORSAIR CP-9020056-NA 850W ATX12V / EPS12V Active PFC RM850 - Power supply ( internal ) - 80 PLUS Gold,850,,,,,,,,20+4,,,,,Main Connector: 20+4Pin; Input Voltage: AC 100-240 V; Output: +3.3 +5 +/- 12 V; Dimensions: 5.9 in x 7.1 in x 3.4 in (WxDxH); Model #: CP-9020056-NA; Item #: 9SIA25V2RD7628; Return Policy: View Return Policy
Corsair,CORSAIR CP-9020055-NA 750W ATX12V / EPS12V Active PFC RM750 - Power supply ( internal ) - 80 PLUS Gold,750,,,,,,,,20+4,,,,,Main Connector: 20+4Pin; Output: +3.3 +5 +/- 12 V; Dimensions: 5.9 in x 7.1 in x 3.4 in (WxDxH); Weight: 7.1 lbs; Model #: CP-9020055-NA; Item #: 9SIA25V2RD7623; Return Policy: View Return Policy
Corsair,Corsair CP9020044NAB Corsair Professional Series 860-Watt ATX/EPS Modular 80 PLUS Platinum Power Supply AX860,860,,,,,,,,,,,,,Model #: CP9020044NAB; Return Policy: View Return Policy
Corsair,650w Power Supply,650,,,,,,,,,,,,,Weight: 6.7; Model #: DHCP9020030US; Item #: 1EV-0010-00181
Corsair,CORSAIR CP-9020073-NA 850W Power Supply,850,,,,,,,,,,,,,Weight: 3.90 lbs.; Model #: CP-9020073-NA; Return Policy: View Return Policy
Corsair,CORSAIR CX750 - Power supply ( internal ) - 80 PLUS Bronze,750,,,,,,,,,,,,,Model #: CP-9020015-EU; Item #: 9SIA49E1NH1536; Return Policy: View Return Policy
Corsair,650w Power Supply,650,,,,,,,,,,,,,Weight: 6.7; Model #: DHCP9020030US; Item #: 1EV-0010-00181
Corsair,CORSAIR CS650M - 650 W - 80 PLUS Gold - Power supply ( internal ),650,,,,,,,,,,,,,Model #: CP-9020077-EU; Item #: 9SIA49E1NH1251; Return Policy: View Return Policy
Corsair,1000W Power Supply,1000,,,,,,,,,,,,,Weight: 8.6; Model #: CP-9020062-NA; Item #: 12K-00RH-00030
Corsair,CORSAIR  CP-9020074-NA  1000W  Power Supply,1000,,,,,,,,,,,,,Weight: 9.3; Weight: 3.60 lbs.; Model #: CP-9020074-NADUP; Return Policy: View Return Policy
Corsair,Corsair CP9020061NAB Corsair CX Series 750 Watt ATX/EPS Modular 80 PLUS Bronze ATX12V/EPS12V 744 Power Supply CX750M,750,CX Series,,,,,,,,,,,,Model #: CP9020061NAB; Return Policy: View Return Policy
Corsair,CORSAIR RM550 - 550 W - Power supply,550,,,,,,,,,,,,,Model #: CP-9020053-EU; Item #: 9SIA49E1NH0043; Return Policy: View Return Policy
COUGAR,COUGAR CMX700V3 700W ATX12V / EPS12V 80 PLUS BRONZE Certified Modular Power Supply,700,,Modular,,2,4,,,20+4,,,,1,Fans: Ultra-Quiet Temp Controlled 140mm Cougar Fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 4 x 6+2-Pin; Model #: CMX700V3; Item #: N82E16817553024; Return Policy: Standard Return Policy
COUGAR,COUGAR DX600 600W ATX SLI Ready CrossFire Ready 80 PLUS Certified Active PFC Power Supply Haswell ready,600,,,80 PLUS Certified,2,1,1,,20+4,,,1,,Fans: 2 x 80mm; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin 1 x 6+2-Pin; Model #: DX600; Item #: N82E16817553014; Return Policy: Standard Return Policy
COUGAR,COUGAR A-Series A760 (CGR B3-760) 760W ATX12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Ultra Quiet Power Supply,760,,,80 PLUS BRONZE Certified...,2,2,2,,20+4,1,,,,Fans: 1 x 120mm fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6-Pin 2 x 6+2-Pin; Model #: A760 (CGR B3-760); Item #: N82E16817553010; Return Policy: Standard Return Policy
COUGAR,COUGAR CougarA500 500W Haswell Ready Power Supply,500,,,,1,2,,,20+4,1,,,,Fans: Ultra-quiet 120mm fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: CougarA500; Item #: N82E16817553022; Return Policy: Standard Return Policy
Diablotek,Diablotek DA Series PSDA350 350W ATX12V Power Supply,350,,,,1,0,0,0,20+4,,,1,,Fans: 2 x 80mm fan; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: No; Model #: PSDA350; Item #: N82E16817822007; Return Policy: Standard Return Policy
E-POWER,ePOWER Xmicro EP-350FX 350W ATX12V Power Supply,350,,,,,,,,20+4,,,,,Fans: 2; Main Connector: 20+4Pin; +12V Rails: Yes; Over Voltage Protection: Yes; Model #: EP-350FX; Item #: N82E16817101515; Return Policy: Standard Return Policy
Enermax,ENERMAX Platimax EPM1000EWT 1000W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS PLATINUM Certified Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,1000,,Modular,,1,6,,,24,,,,,Fans: 1 x 139mm Twister-bearing Fan; Main Connector: 24Pin; +12V Rails: Single; PCI-Express Connector: 6 x 6+2-Pin; Model #: EPM1000EWT; Item #: N82E16817194097; Return Policy: Standard Return Policy
Enermax,ENERMAX Platimax EPM850EWT 850W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS PLATINUM Certified Modular Power Supply New 4th Gen CPU Certified Haswell Ready,850,,Modular,,4,4,,,24,,,,,Fans: 1 x 139mm Twister-bearing Fan; Main Connector: 24Pin; +12V Rails: 4; PCI-Express Connector: 4 x 6+2-Pin; Model #: EPM850EWT; Item #: N82E16817194098; Return Policy: Standard Return Policy
Enermax,ENERMAX REVOLUTION X't ERX630AWT 630W ATX12V 80 PLUS GOLD Certified Modular Active PFC Power Supply,630,,Modular,,,3,,,24,,,,,Fans: 1; Main Connector: 24+8Pin; PCI-Express Connector: 3 x 6+2-Pin; SATA Power Connector: 8; Model #: ERX630AWT; Item #: N82E16817194112; Return Policy: Standard Return Policy
Enermax,ENERMAX REVOLUTION X't ERX430AWT 430W ATX12V 80 PLUS GOLD Certified Modular Active PFC Power Supply,430,,Modular,,,2,,,24,,,,,Fans: 1; Main Connector: 24+8Pin; PCI-Express Connector: 2 x 6+2-Pin; SATA Power Connector: 8; Model #: ERX430AWT; Item #: N82E16817194110; Return Policy: Standard Return Policy
Enermax,ENERMAX TRIATHLOR ECO ETL650AWT-M 650W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Hybrid Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,650,,Hybrid Modular,,,4,,,20+4,,,,,"Main Connector: 20+4Pin; PCI-Express Connector: 4 x 6+2-Pin; SATA Power Connector: 8; Dimensions: 5.51"" x 5.91"" x 3.39"" (L x W x H); Model #: ETL650AWT-M; Item #: N82E16817194116; Return Policy: Standard Return Policy"
Enermax,ENERMAX TRIATHLOR ECO ETL450AWT-M 450W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Hybrid modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,450,,Hybrid modular,,,2,,,20+4,,,,,"Main Connector: 20+4Pin; PCI-Express Connector: 2 x 6+2-Pin; SATA Power Connector: 8; Dimensions: 5.51"" x 5.91"" x 3.39"" (L x W x H); Model #: ETL450AWT-M; Item #: N82E16817194114; Return Policy: Standard Return Policy"
Enermax,ENERMAX TRIATHLOR ECO ETL550AWT-M 550W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Hybrid Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,550,,Hybrid Modular,,,2,,,20+4,,,,,"Main Connector: 20+4Pin; PCI-Express Connector: 2 x 6+2-Pin; SATA Power Connector: 8; Dimensions: 5.51"" x 5.91"" x 3.39"" (L x W x H); Model #: ETL550AWT-M; Item #: N82E16817194115; Return Policy: Standard Return Policy"
Enermax,ENERMAX TRIATHLOR ECO ETL450AWT-M 450W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Hybrid modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,450,,Hybrid modular,,,2,,,20+4,,,,,"Main Connector: 20+4Pin; PCI-Express Connector: 2 x 6+2-Pin; SATA Power Connector: 8; Dimensions: 5.51"" x 5.91"" x 3.39"" (L x W x H); Model #: ETL450AWT-M; Item #: N82E16817194114; Return Policy: Standard Return Policy"
Enermax,ENERMAX TRIATHLOR ECO ETL550AWT-M 550W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Hybrid Modular Active PFC Power Supply New 4th Gen CPU Certified Haswell Ready,550,,Hybrid Modular,,,2,,,20+4,,,,,"Main Connector: 20+4Pin; PCI-Express Connector: 2 x 6+2-Pin; SATA Power Connector: 8; Dimensions: 5.51"" x 5.91"" x 3.39"" (L x W x H); Model #: ETL550AWT-M; Item #: N82E16817194115; Return Policy: Standard Return Policy"
Enermax,ENERMAX NAXN ENP450AST 450W ATX12V Power Supply,450,,,,2,1,1,,24,1,,,,Fans: 1 x 120mm fan; Main Connector: 24Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin 1 x 6+2-Pin; Model #: ENP450AST; Item #: N82E16817194090; Return Policy: View Return Policy
Enermax,ENERMAX NAXN ENP450AST 450W ATX12V Power Supply,450,,,,2,1,1,,24,1,,,,Fans: 1 x 120mm fan; Main Connector: 24Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin 1 x 6+2-Pin; Model #: ENP450AST; Item #: N82E16817194090; Return Policy: View Return Policy
EVGA,EVGA 120-G1-0750-XR 750W ATX12V / EPS12V 80 PLUS GOLD Certified Power Supply,750,,,80+ Gold Certified,4,4,,,24,,,,,Fans: 135mm Double Ball Bearing; Main Connector: 24Pin; +12V Rails: 4; PCI-Express Connector: 4 x 6+2-Pin; Model #: 120-G1-0750-XR; Item #: N82E16817438027; Return Policy: View Return Policy
