"id","manufacturer","name","core_name","core_count","manufacturer_tech","frequency","thermal_design_power","release_date","release_price","sSpec","voltage","created_at","updated_at","vram_bit_width","i_gpu","part_number","socket"
32,"Intel","Core i3-2100T","Sandy Bridge",2,32,2.5,35,"2011-02-01",127,,,"2015-03-09 23:57:22.872411","2015-03-09 23:57:22.872418",,"HD Graphics 2000","CM8062301045908","1155"
33,"Intel","Core i7-3820","Sandy Bridge-E",4,32,3.6,130,"2012-02-01",294,,,"2015-03-09 23:57:22.872485","2015-03-09 23:57:22.872489",,,"CM8061901049606","2011"
34,"Intel","Core i7-980X","Gulftown",6,32,3.33,130,"2010-03-01",999,,,"2015-03-09 23:57:22.872533","2015-03-09 23:57:22.872537",,,"AT80613003543AE","1366"
35,"Intel","Core i5-4460T","Haswell",4,22,1.9,35,"2014-03-01",182,,,"2015-03-09 23:57:22.872581","2015-03-09 23:57:22.872585",,"HD Graphics 4600","CM8064601561827","1150"
36,"Intel","Core i7-3770","Ivy Bridge ",4,22,3.4,77,"2012-04-01",278,,,"2015-03-09 23:57:22.872642","2015-03-09 23:57:22.872649",,"HD Graphics 4000","CM8063701211600","1155"
37,"Intel","Core i7-3770K","Ivy Bridge ",4,22,3.5,77,"2012-04-01",313,,,"2015-03-09 23:57:22.872709","2015-03-09 23:57:22.872713",,"HD Graphics 4000","CM8063701211700","1155"
38,"Intel","Core i7-3770S","Ivy Bridge ",4,22,3.1,65,"2012-04-01",278,,,"2015-03-09 23:57:22.872757","2015-03-09 23:57:22.872761",,"HD Graphics 4000","CM8063701211900","1155"
39,"Intel","Core i7-3770T","Ivy Bridge ",4,22,2.5,45,"2012-04-01",278,,,"2015-03-09 23:57:22.872804","2015-03-09 23:57:22.872808",,"HD Graphics 4000","CM8063701212200","1155"
40,"Intel","Core i5-3450","Ivy Bridge ",4,22,3.1,77,"2012-04-01",184,,,"2015-03-09 23:57:22.872868","2015-03-09 23:57:22.872872",,"HD Graphics 2500","CM8063701159406","1155"
41,"Intel","Core i5-3550","Ivy Bridge ",4,22,3.3,77,"2012-04-01",205,,,"2015-03-09 23:57:22.872933","2015-03-09 23:57:22.872937",,"HD Graphics 2500","CM8063701093203","1155"
42,"Intel","Core i5-3570K","Ivy Bridge ",4,22,3.4,77,"2012-04-01",225,,,"2015-03-09 23:57:22.872981","2015-03-09 23:57:22.872985",,"HD Graphics 4000","CM8063701211800","1155"
43,"Intel","Core i5-3450S","Ivy Bridge ",4,22,2.8,65,"2012-04-01",184,,,"2015-03-09 23:57:22.873027","2015-03-09 23:57:22.873052",,"HD Graphics 2500","CM8063701095104","1155"
44,"Intel","Core i5-3550S","Ivy Bridge ",4,22,3,65,"2012-04-01",205,,,"2015-03-09 23:57:22.8731","2015-03-09 23:57:22.873104",,"HD Graphics 2500","CM8063701095203","1155"
45,"Intel","Core i5-3570T","Ivy Bridge ",4,22,2.3,45,"2012-04-01",205,,,"2015-03-09 23:57:22.873148","2015-03-09 23:57:22.873152",,"HD Graphics 2500","CM8063701094903","1155"
46,"Intel","Core i7-875K","Lynnfield",4,45,2.93,95,"2010-05-01",342,,,"2015-03-09 23:57:22.873205","2015-03-09 23:57:22.873209",,,"BV80605001905AM","1156"
47,"Intel","Core i7-880","Lynnfield",4,45,3.07,95,"2010-05-01",583,,,"2015-03-09 23:57:22.873254","2015-03-09 23:57:22.873258",,,"BV80605002505AG","1156"
48,"Intel","Core i3-550","Clarkdale",2,32,3.2,73,"2010-05-01",138,,,"2015-03-09 23:57:22.873316","2015-03-09 23:57:22.87332",,,"CM80616003174AJ","1156"
49,"Intel","Core i5-2310","Sandy Bridge",4,32,2.9,95,"2011-05-01",177,,,"2015-03-09 23:57:22.873374","2015-03-09 23:57:22.873379",,"HD Graphics 2000","CM8062301043718","1155"
99,"Intel","Core i7-4790K","Haswell",4,22,4,88,"2014-06-01",339,,,"2015-03-09 23:57:22.87672","2015-03-09 23:57:22.876724",,"HD Graphics 4600","CM8064601710501","1150"
50,"Intel","Core i5-2405S","Sandy Bridge",4,32,2.5,65,"2011-05-01",205,,,"2015-03-09 23:57:22.873431","2015-03-09 23:57:22.873443",,"HD Graphics 3000","CM8062301091201","1155"
51,"Intel","Core i3-2105","Sandy Bridge",2,32,3.1,65,"2011-05-01",134,,,"2015-03-09 23:57:22.873504","2015-03-09 23:57:22.873509",,"HD Graphics 3000","CM8062301090600","1155"
52,"Intel","Core i7-4790","Haswell",4,22,3.6,84,"2014-05-01",303,,,"2015-03-09 23:57:22.873589","2015-03-09 23:57:22.873594",,"HD Graphics 4600","CM8064601560113","1150"
53,"Intel","Core i7-4790S","Haswell",4,22,3.2,65,"2014-05-01",303,,,"2015-03-09 23:57:22.8737","2015-03-09 23:57:22.873705",,"HD Graphics 4600","CM8064601561014","1150"
54,"Intel","Core i7-4785T","Haswell",4,22,2.2,35,"2014-05-01",303,,,"2015-03-09 23:57:22.873771","2015-03-09 23:57:22.873776",,"HD Graphics 4600","CM8064601561714","1150"
55,"Intel","Core i7-4790T","Haswell",4,22,2.7,45,"2014-05-01",303,,,"2015-03-09 23:57:22.873821","2015-03-09 23:57:22.873829",,"HD Graphics 4600","CM8064601561513","1150"
56,"Intel","Core i5-4590","Haswell",4,22,3.3,84,"2014-05-01",192,,,"2015-03-09 23:57:22.873887","2015-03-09 23:57:22.873916",,"HD Graphics 4600","CM8064601560615","1150"
57,"Intel","Core i5-4690","Haswell",4,22,3.5,84,"2014-05-01",213,,,"2015-03-09 23:57:22.873963","2015-03-09 23:57:22.873967",,"HD Graphics 4600","CM8064601560516","1150"
58,"Intel","Core i5-4460S","Haswell",4,22,2.9,65,"2014-05-01",182,,,"2015-03-09 23:57:22.874035","2015-03-09 23:57:22.87404",,"HD Graphics 4600","CM8064601561423","1150"
