itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
Corsair,CORSAIR DOMINATOR Platinum 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model CMD16GX4M4A2666C15 CORSAIR DOMINATOR Platinum 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model CMD16GX4M4A2666C15,CORSAIR DOMINATOR Platinum 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model CMD16GX4M4A2666C15,DDR4 2666 (PC4-21300),2666; 21300,15,1.2V,Quad Channel Kit,15-17-17-35,CMD16GX4M4A2666C15,,,,
HyperX,HyperX Savage 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SRK2/8 HyperX Savage 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SRK2/8,HyperX Savage 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model HX324C11SRK2/8,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Dual Channel Kit,11/13/14,HX324C11SRK2/8,,,,
Patriot Memory,Patriot Viper 3 Low Profile Blue 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model PVL38G160C9KB Patriot Viper 3 Low Profile Blue 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model PVL38G160C9KB,Patriot Viper 3 Low Profile Blue 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model PVL38G160C9KB,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,PVL38G160C9KB,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994164F Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994164F,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994164F,DDR3 2133 (PC3 17000),2133; 17000,10,1.6V,Quad Channel Kit,10-12-12-28,994164F,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 997124 Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 997124,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model 997124,DDR3 2133 (PC3 17000),2133; 17000,10,1.58V,Dual Channel Kit,10-12-12-28,997124,,,,
HyperX,HyperX Beast 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T3K2/16 HyperX Beast 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T3K2/16,HyperX Beast 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T3K2/16,DDR3 2400,2400,11,1.65V,Dual Channel Kit,11/13/14,HX324C11T3K2/16,,,,
Corsair,CORSAIR Vengeance LP 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CML8GX3M2A1600C9G CORSAIR Vengeance LP 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CML8GX3M2A1600C9G,CORSAIR Vengeance LP 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CML8GX3M2A1600C9G,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,CML8GX3M2A1600C9G,,,,
PNY Technologies Inc.,PNY XLR8 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model MD4096KD2-800-X4 PNY XLR8 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model MD4096KD2-800-X4,PNY XLR8 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model MD4096KD2-800-X4,DDR2 800 (PC2 6400),800; 6400,4,2.0V,Dual Channel Kit,4-4-4-12,MD4096KD2-800-X4,,,,
G.SKILL,G.SKILL Ripjaws 4 series 64GB (8 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory KitModel F4-2666C16Q2-64GRB G.SKILL Ripjaws 4 series 64GB (8 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory KitModel F4-2666C16Q2-64GRB,G.SKILL Ripjaws 4 series 64GB (8 x 8GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory KitModel F4-2666C16Q2-64GRB,DDR4 2666 (PC4-21300),2666; 21300,16,1.2V,Quad Channel Kit,16-16-16-36,F4-2666C16Q2-64GRB,,,,
Corsair,CORSAIR Vengeance LPX 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Kit Model CMK8GX4M2A2400C14 CORSAIR Vengeance LPX 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Kit Model CMK8GX4M2A2400C14,CORSAIR Vengeance LPX 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Memory Kit Model CMK8GX4M2A2400C14,DDR4 2400 (PC4-19200),2400; 19200,14,1.2V,Dual Channel Kit,14-16-16-31,CMK8GX4M2A2400C14,,,,
Corsair,CORSAIR Dominator Platinum 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMD16GX3M2A2133C9 CORSAIR Dominator Platinum 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMD16GX3M2A2133C9,CORSAIR Dominator Platinum 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model CMD16GX3M2A2133C9,DDR3 2133 (PC3 17000),2133; 17000,9,1.65V,Dual Channel Kit,9-11-11-31,CMD16GX3M2A2133C9,,,,
Mushkin Enhanced,Mushkin Enhanced Silverline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model 994018 Mushkin Enhanced Silverline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model 994018,Mushkin Enhanced Silverline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model 994018,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,Quad Channel Kit,9-9-9-24,994018,,,,
Corsair,CORSAIR Dominator Platinum 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model CMD8GX3M2A2666C12 CORSAIR Dominator Platinum 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model CMD8GX3M2A2666C12,CORSAIR Dominator Platinum 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model CMD8GX3M2A2666C12,DDR3 2666 (PC3 21300),2666; 21300,12,1.65V,Dual Channel Kit,12-13-13-35,CMD8GX3M2A2666C12,,,,
Team Group,Team Elite Plus 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TPD416GM2133HC15QC01 Team Elite Plus 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TPD416GM2133HC15QC01,Team Elite Plus 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TPD416GM2133HC15QC01,DDR4 2133 (PC4-17000),2133; 17000,15,1.2V,Quad Channel Kit,15-15-15-35,TPD416GM2133HC15QC01,,,,
G.SKILL,G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-16GZM G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-16GZM,G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-16GZM,DDR3 2133 (PC3 17000),2133; 17000,10,1.6V,Quad Channel Kit,10-12-12-31,F3-2133C10Q-16GZM,,,,
Corsair,CORSAIR Vengeance 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ16GX3M4A1600C9 CORSAIR Vengeance 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ16GX3M4A1600C9,CORSAIR Vengeance 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ16GX3M4A1600C9,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Quad Channel Kit,9-9-9-24,CMZ16GX3M4A1600C9,,,,
Corsair,CORSAIR Vengeance 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ32GX3M8X1600C9 CORSAIR Vengeance 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ32GX3M8X1600C9,CORSAIR Vengeance 32GB (8 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ32GX3M8X1600C9,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Quad Channel Kit,9-9-9-24,CMZ32GX3M8X1600C9,,,,
Patriot Memory,Patriot Viper 3 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model PV332G160C9QK Patriot Viper 3 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model PV332G160C9QK,Patriot Viper 3 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model PV332G160C9QK,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Quad Channel Kit,9-9-9-24,PV332G160C9QK,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994015F Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994015F,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 UDIMM DDR3 2133 (PC3 17000) Memory Model 994015F,DDR3 2133 (PC3 17000),2133; 17000,10,1.5V,Quad Channel Kit,10-11-10-28,994015F,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 997050F Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 997050F,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 UDIMM DDR3 1600 (PC3 12800) Memory Model 997050F,DDR3 1600 (PC3 12800),1600; 12800,9,1.6V,Dual Channel Kit,9-9-9-24,997050F,,,,
HyperX,HyperX Beast 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T3K4/32 HyperX Beast 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T3K4/32,HyperX Beast 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2400 Desktop Memory Model HX324C11T3K4/32,DDR3 2400,2400,11,1.65V,Quad Channel Kit,11/13/14,HX324C11T3K4/32,,,,
Mushkin Enhanced,Mushkin Enhanced Silverline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model 997018 Mushkin Enhanced Silverline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model 997018,Mushkin Enhanced Silverline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10600) Desktop Memory Model 997018,DDR3 1333 (PC3 10600),1333; 10600,9,1.5V,Dual Channel Kit,9-9-9-24,997018,,,,
Team Group,Team Elite Plus 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TPD416GM2133HC15DC01 Team Elite Plus 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TPD416GM2133HC15DC01,Team Elite Plus 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TPD416GM2133HC15DC01,DDR4 2133 (PC4-17000),2133; 17000,15,1.2V,Dual Channel Kit,15-15-15-35,TPD416GM2133HC15DC01,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 997069 Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 997069,Mushkin Enhanced Blackline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 997069,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,997069,,,,
G.SKILL,G.SKILL Ripjaws Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL7D-4GBRM G.SKILL Ripjaws Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL7D-4GBRM,G.SKILL Ripjaws Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL7D-4GBRM,DDR3 1600 (PC3 12800),1600; 12800,7,1.6V,Dual Channel Kit,7-8-7-24-2N,F3-12800CL7D-4GBRM,,,,
Patriot Memory,Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Extreme Performance Quad Memory KitModel PV432G240C5QK Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Extreme Performance Quad Memory KitModel PV432G240C5QK,Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Extreme Performance Quad Memory KitModel PV432G240C5QK,DDR4 2400 (PC4-19200),2400; 19200,15,1.2V,Quad Channel Kit,15-15-15-35,PV432G240C5QK,,,,
Corsair,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Memory Kit Model CMK16GX4M4B3000C15 CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Memory Kit Model CMK16GX4M4B3000C15,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4-24000) Memory Kit Model CMK16GX4M4B3000C15,DDR4 3000 (PC4-24000),3000; 24000,15,1.35V,Quad Channel Kit,15-17-17-35,CMK16GX4M4B3000C15,,,,
G.SKILL,G.SKILL Ripjaws X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Voltage Desktop Memory Model F3-12800CL9D-8GBXM G.SKILL Ripjaws X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Voltage Desktop Memory Model F3-12800CL9D-8GBXM,G.SKILL Ripjaws X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Voltage Desktop Memory Model F3-12800CL9D-8GBXM,DDR3 1600 (PC3 12800),1600; 12800,9,1.35V,Dual Channel Kit,9-9-9-24,F3-12800CL9D-8GBXM,,,,
G.SKILL,G.SKILL Trident X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model F3-2666C12Q-32GTXD G.SKILL Trident X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model F3-2666C12Q-32GTXD,G.SKILL Trident X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2666 (PC3 21300) Desktop Memory Model F3-2666C12Q-32GTXD,DDR3 2666 (PC3 21300),2666; 21300,12,1.65V,Quad Channel Kit,12-13-13-35,F3-2666C12Q-32GTXD,,,,
PNY Technologies Inc.,PNY 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD32768K4D3-1600-X9 PNY 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD32768K4D3-1600-X9,PNY 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model MD32768K4D3-1600-X9,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Quad Channel Kit,9-9-9-24,MD32768K4D3-1600-X9,,,,
G.SKILL,G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9Q-16GBZH G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9Q-16GBZH,G.SKILL Ripjaws Z Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-17000CL9Q-16GBZH,DDR3 2133 (PC3 17000),2133; 17000,9,1.65V,Quad Channel Kit,9-11-10-28,F3-17000CL9Q-16GBZH,,,,
G.SKILL,G.SKILL Value Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model F4-2133C15Q-32GNT G.SKILL Value Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model F4-2133C15Q-32GNT,G.SKILL Value Series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model F4-2133C15Q-32GNT,DDR4 2133 (PC4-17000),2133; 17000,15,1.2V,Quad Channel Kit,15-15-15-35,F4-2133C15Q-32GNT,,,,
Mushkin Enhanced,Mushkin Enhanced Redline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997119 Mushkin Enhanced Redline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997119,Mushkin Enhanced Redline 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 14900) Desktop Memory Model 997119,DDR3 1866 (PC3 14900),1866; 14900,9,1.5V,Dual Channel Kit,9-10-9-27,997119,,,,
Corsair,CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMY8GX3M2A1600C9 (Silver) CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMY8GX3M2A1600C9 (Silver),CORSAIR Vengeance Pro 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMY8GX3M2A1600C9 (Silver),DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,CMY8GX3M2A1600C9,,,,
Apotop,Apotop 8GB (2 x 4GB) DDR3 1866 (PC3 15000) Desktop Memory Model U3A4Gx2-18C9GB Apotop 8GB (2 x 4GB) DDR3 1866 (PC3 15000) Desktop Memory Model U3A4Gx2-18C9GB,Apotop 8GB (2 x 4GB) DDR3 1866 (PC3 15000) Desktop Memory Model U3A4Gx2-18C9GB,DDR3 1866 (PC3 15000),1866; 15000,9,1.5V,Dual Channel Kit,9-10-9-27,U3A4Gx2-18C9GB,,,,
G.SKILL,G.SKILL Sniper Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11Q-16GSR G.SKILL Sniper Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11Q-16GSR,G.SKILL Sniper Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11Q-16GSR,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Quad Channel Kit,11-13-13-31,F3-2400C11Q-16GSR,,,,
Corsair,CORSAIR Vengeance 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ8GX3M2X1600C7R CORSAIR Vengeance 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ8GX3M2X1600C7R,CORSAIR Vengeance 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMZ8GX3M2X1600C7R,DDR3 1600 (PC3 12800),1600; 12800,7,1.5V,Dual Channel Kit,7-8-8-24,CMZ8GX3M2X1600C7R,,,,
G.SKILL,G.SKILL 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Dual Channel Kit Desktop Memory Model F3-10666CL8D-4GBHK G.SKILL 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Dual Channel Kit Desktop Memory Model F3-10666CL8D-4GBHK,G.SKILL 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1333 (PC3 10666) Dual Channel Kit Desktop Memory Model F3-10666CL8D-4GBHK,DDR3 1333 (PC3 10666),1333; 10666,8,1.5V,Dual Channel Kit,8-8-8-21,F3-10666CL8D-4GBHK,,,,
Patriot Memory,Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Extreme Performance Quad Memory KitModel PV432G280C6QK Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Extreme Performance Quad Memory KitModel PV432G280C6QK,Patriot Viper 4 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2800 (PC4-22400) Extreme Performance Quad Memory KitModel PV432G280C6QK,DDR4 2800 (PC4-22400),2800; 22400,16,1.2V,Quad Channel Kit,16-18-18-36,PV432G280C6QK,,,,
Corsair,CORSAIR Dominator Platinum 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 3100 (PC3 24800) Memory KitModel CMD16GX3M4A3100C12 CORSAIR Dominator Platinum 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 3100 (PC3 24800) Memory KitModel CMD16GX3M4A3100C12,CORSAIR Dominator Platinum 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 3100 (PC3 24800) Memory KitModel CMD16GX3M4A3100C12,DDR3 3100 (PC3 24800),3100; 24800,12,1.65V,Quad Channel Kit,12-14-14-36,CMD16GX3M4A3100C12,,,,
G.SKILL,G.SKILL Ripjaws X Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Voltage Desktop Memory Model F3-12800CL9Q-16GBXM G.SKILL Ripjaws X Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Voltage Desktop Memory Model F3-12800CL9Q-16GBXM,G.SKILL Ripjaws X Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Low Voltage Desktop Memory Model F3-12800CL9Q-16GBXM,DDR3 1600 (PC3 12800),1600; 12800,9,1.35V,Quad Channel Kit,9-9-9-24,F3-12800CL9Q-16GBXM,,,,
Mushkin Enhanced,Mushkin Enhanced Silverline 8GB (2 x 4GB) 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model 996757 Mushkin Enhanced Silverline 8GB (2 x 4GB) 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model 996757,Mushkin Enhanced Silverline 8GB (2 x 4GB) 240-Pin DDR2 SDRAM DDR2 667 (PC2 5300) Desktop Memory Model 996757,DDR2 667 (PC2 5300),667; 5300,5,1.8V,Dual Channel Kit,5-5-5-15,996757,,,,
Corsair,CORSAIR DOMINATOR GT 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 15000) Desktop Memory Model CMT32GX3M4X1866C9 CORSAIR DOMINATOR GT 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 15000) Desktop Memory Model CMT32GX3M4X1866C9,CORSAIR DOMINATOR GT 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 15000) Desktop Memory Model CMT32GX3M4X1866C9,DDR3 1866 (PC3 15000),1866; 15000,9,1.5V,Quad Channel Kit,9-10-9-27,CMT32GX3M4X1866C9,,,,
G.SKILL,G.SKILL Trident X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 (PC3 22400) Desktop Memory Model F3-2800C12D-8GTXDG G.SKILL Trident X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 (PC3 22400) Desktop Memory Model F3-2800C12D-8GTXDG,G.SKILL Trident X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 (PC3 22400) Desktop Memory Model F3-2800C12D-8GTXDG,DDR3 2800 (PC3 22400),2800; 22400,12,1.65V,Dual Channel Kit,12-14-14-35,F3-2800C12D-8GTXDG,,,,
Team Group,Team Elite Plus 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model TPD416GM2400HC16DC01 Team Elite Plus 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model TPD416GM2400HC16DC01,Team Elite Plus 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 2400 (PC4-19200) Desktop Memory Model TPD416GM2400HC16DC01,DDR4 2400 (PC4-19200),2400; 19200,15,1.2V,Dual Channel Kit,15-15-15-35,TPD416GM2400HC16DC01,,,,
