itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
G.SKILL,G.SKILL Trident X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2933 (PC3 23400) Desktop Memory Model F3-2933C12D-8GTXDG G.SKILL Trident X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2933 (PC3 23400) Desktop Memory Model F3-2933C12D-8GTXDG,G.SKILL Trident X Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2933 (PC3 23400) Desktop Memory Model F3-2933C12D-8GTXDG,DDR3 2933 (PC3 23400),2933; 23400,12,1.65V,Dual Channel Kit,12-14-14-35,F3-2933C12D-8GTXDG,,,,
Corsair,CORSAIR Vengeance Pro 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY32GX3M4A2133C11 (Silver) CORSAIR Vengeance Pro 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY32GX3M4A2133C11 (Silver),CORSAIR Vengeance Pro 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 Desktop Memory Model CMY32GX3M4A2133C11 (Silver),DDR3 2133,2133,11,1.5V,Quad Channel Kit,11-11-11-27,CMY32GX3M4A2133C11,,,,
G.SKILL,G.SKILL AEGIS 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11D-16GISL G.SKILL AEGIS 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11D-16GISL,G.SKILL AEGIS 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11D-16GISL,DDR3 1600 (PC3 12800),1600; 12800,11,1.35V,Dual Channel Kit,11-11-11-28,F3-1600C11D-16GISL,,,,
ADATA,ADATA XPG V2 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 (PC3 22400) Desktop Memory Model AX3U2800W4G12-DGV ADATA XPG V2 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 (PC3 22400) Desktop Memory Model AX3U2800W4G12-DGV,ADATA XPG V2 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2800 (PC3 22400) Desktop Memory Model AX3U2800W4G12-DGV,DDR3 2800 (PC3 22400),2800; 22400,12,1.65V,Dual Channel Kit,12-14-14-36,AX3U2800W4G12-DGV,,,,
G.SKILL,G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-32GXM G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-32GXM,G.SKILL Ripjaws X Series 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 2133 (PC3 17000) Desktop Memory Model F3-2133C10Q-32GXM,DDR3 2133 (PC3 17000),2133; 17000,10,1.6V,Quad Channel Kit,10-12-12-31,F3-2133C10Q-32GXM,,,,
G.SKILL,G.SKILL Ares Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9Q-16GAB G.SKILL Ares Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9Q-16GAB,G.SKILL Ares Series 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C9Q-16GAB,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Quad Channel Kit,9/9/09,F3-1600C9Q-16GAB,,,,
Corsair,CORSAIR Vengeance 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 15000) Desktop MemoryModel CMZ8GX3M2A1866C10 CORSAIR Vengeance 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 15000) Desktop MemoryModel CMZ8GX3M2A1866C10,CORSAIR Vengeance 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 15000) Desktop MemoryModel CMZ8GX3M2A1866C10,DDR3 1866 (PC3 15000),1866; 15000,10,1.5V,Dual Channel Kit,10-11-10-30,CMZ8GX3M2A1866C10,,,,
Corsair,CORSAIR XMS3 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMX4GX3M2A1600C8 CORSAIR XMS3 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMX4GX3M2A1600C8,CORSAIR XMS3 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model CMX4GX3M2A1600C8,DDR3 1600 (PC3 12800),1600; 12800,8,1.65V,Dual Channel Kit,8-8-8-24,CMX4GX3M2A1600C8,,,,
Corsair,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model CMK16GX4M4A2666C15 CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model CMK16GX4M4A2666C15,CORSAIR Vengeance LPX 16GB (4 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Desktop Memory Model CMK16GX4M4A2666C15,DDR4 2666 (PC4-21300),2666; 21300,15,1.2V,Quad Channel Kit,15-17-17-35,CMK16GX4M4A2666C15,,,,
Team Group,Team Elite 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TED48GM2133C15DC01 Team Elite 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TED48GM2133C15DC01,Team Elite 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model TED48GM2133C15DC01,DDR4 2133 (PC4-17000),2133; 17000,15,1.2V,Dual Channel Kit,15-15-15-35,TED48GM2133C15DC01,,,,
