Intel,Core i3-2105,Sandy Bridge,1155,32,3.1,2,65,HD Graphics 3000,5/1/11,CM8062301090600,134
Intel,Core i7-4790,Haswell,1150,22,3.6,4,84,HD Graphics 4600,5/1/14,CM8064601560113,303
Intel,Core i7-4790S,Haswell,1150,22,3.2,4,65,HD Graphics 4600,5/1/14,CM8064601561014,303
Intel,Core i7-4785T,Haswell,1150,22,2.2,4,35,HD Graphics 4600,5/1/14,CM8064601561714,303
Intel,Core i7-4790T,Haswell,1150,22,2.7,4,45,HD Graphics 4600,5/1/14,CM8064601561513,303
Intel,Core i5-4590,Haswell,1150,22,3.3,4,84,HD Graphics 4600,5/1/14,CM8064601560615,192
Intel,Core i5-4690,Haswell,1150,22,3.5,4,84,HD Graphics 4600,5/1/14,CM8064601560516,213
Intel,Core i5-4460S,Haswell,1150,22,2.9,4,65,HD Graphics 4600,5/1/14,CM8064601561423,182
Intel,Core i5-4590S,Haswell,1150,22,3,4,65,HD Graphics 4600,5/1/14,CM8064601561214,192
Intel,Core i5-4690S,Haswell,1150,22,3.2,4,65,HD Graphics 4600,5/1/14,CM8064601561313,213
Intel,Core i5-4590T,Haswell,1150,22,2,4,35,HD Graphics 4600,5/1/14,CM8064601481927,192
Intel,Core i5-4690T,Haswell,1150,22,2.5,4,45,HD Graphics 4600,5/1/14,CM8064601561613,213
Intel,Core i3-4150,Haswell,1150,22,3.5,2,54,HD Graphics 4400,5/1/14,CM8064601483643,117
Intel,Core i3-4350,Haswell,1150,22,3.6,2,54,HD Graphics 4600,5/1/14,CM8064601482464,138
Intel,Core i3-4360,Haswell,1150,22,3.7,2,54,HD Graphics 4600,5/1/14,CM8064601482461,149
Intel,Core i3-4150T,Haswell,1150,22,3,2,35,HD Graphics 4400,5/1/14,CM8064601483534,117
Intel,Core i3-4350T,Haswell,1150,22,3.1,2,35,HD Graphics 4600,5/1/14,CM8064601481957,138
Intel,Core i3-4340TE,Haswell,1150,22,2.6,2,35,HD Graphics 4600,5/1/14,CM8064601618605,138
Intel,Core i7-980,Gulftown,1366,32,3.33,6,130,,6/1/11,AT80613006756AA,583
Intel,Core i3-2102[N 1],Sandy Bridge,1155,32,3.1,2,65,HD Graphics 2000,6/1/11,CM8062301061700,127
Intel,Core i5-3470T,Ivy Bridge ,1155,22,2.9,2,35,HD Graphics 2500,6/1/12,CM8063701159502,184
Intel,Core i5-3470,Ivy Bridge ,1155,22,3.2,4,77,HD Graphics 2500,6/1/12,CM8063701093302,184
Intel,Core i5-3570,Ivy Bridge ,1155,22,3.4,4,77,HD Graphics 2500,6/1/12,CM8063701093103,205
Intel,Core i5-3470S,Ivy Bridge ,1155,22,2.9,4,65,HD Graphics 2500,6/1/12,CM8063701094000,184
Intel,Core i5-3475S,Ivy Bridge ,1155,22,2.9,4,65,HD Graphics 4000,6/1/12,CM8063701212000,201
Intel,Core i5-3570S,Ivy Bridge ,1155,22,3.1,4,65,HD Graphics 2500,6/1/12,CM8063701093901,205
Intel,Core i7-4770,Haswell,1150,22,3.4,4,84,HD Graphics 4600,6/1/13,CM8064601464303,303
Intel,Core i7-4770K,Haswell,1150,22,3.5,4,84,HD Graphics 4600,6/1/13,CM8064601464206,339
Intel,Core i7-4770S,Haswell,1150,22,3.1,4,65,HD Graphics 4600,6/1/13,CM8064601465504,303
Intel,Core i7-4765T,Haswell,1150,22,2,4,35,HD Graphics 4600,6/1/13,CM8064601466200,303
Intel,Core i7-4770T,Haswell,1150,22,2.5,4,45,HD Graphics 4600,6/1/13,CM8064601465902,303
Intel,Core i7-4770TE,Haswell,1150,22,2.3,4,45,HD Graphics 4600,6/1/13,CM8064601538900,303
Intel,Core i7-4770R,Haswell,1364,22,3.2,4,65,Iris Pro Graphics 5200,6/1/13,CL8064701508001,392
Intel,Core i5-4570T,Haswell,1150,22,2.9,2,35,HD Graphics 4600,6/1/13,CM8064601466203,192
Intel,Core i5-4570TE,Haswell,1150,22,2.7,2,35,HD Graphics 4600,6/1/13,CM8064601484301,192
Intel,Core i5-4430,Haswell,1150,22,3,4,84,HD Graphics 4600,6/1/13,CM8064601464802,182
Intel,Core i5-4570,Haswell,1150,22,3.2,4,84,HD Graphics 4600,6/1/13,CM8064601464707,192
Intel,Core i5-4670,Haswell,1150,22,3.4,4,84,HD Graphics 4600,6/1/13,CM8064601464706,213
Intel,Core i5-4670K,Haswell,1150,22,3.4,4,84,HD Graphics 4600,6/1/13,CM8064601464506,242
Intel,Core i5-4430S,Haswell,1150,22,2.7,4,65,HD Graphics 4600,6/1/13,CM8064601465803,182
Intel,Core i5-4570S,Haswell,1150,22,2.9,4,65,HD Graphics 4600,6/1/13,CM8064601465605,192
Intel,Core i5-4670S,Haswell,1150,22,3.1,4,65,HD Graphics 4600,6/1/13,CM8064601465703,213
Intel,Core i5-4670T,Haswell,1150,22,2.3,4,45,HD Graphics 4600,6/1/13,CM8064601466003,213
Intel,Core i5-4570R,Haswell,1364,22,2.7,4,65,Iris Pro Graphics 5200,6/1/13,CL8064701508603,255
